n;id;titulo;canal;enlace;fecha;anyo;mes;tipo
130;Xq1YjHL4a50;Милан. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;https://www.youtube.com/watch?v=Xq1YjHL4a50;2019-09-29T13:13:50Z;2019;9;Viaje
131;M-ZnT4wDMV4;11 Things NOT to do in Israel - MUST SEE BEFORE YOU GO!;Cal McKinley;https://www.youtube.com/watch?v=M-ZnT4wDMV4;2019-09-22T20:41:35Z;2019;9;Viaje
132;uYaQ74Vqh5U;The Best Hot Fried Chicken In Nashville  -  Best Of The Best;Insider Food;https://www.youtube.com/watch?v=uYaQ74Vqh5U;2019-09-28T16:00:14Z;2019;9;Comida
133;H030kvQqrDA;Why People Wait For Hours To Eat At This Tiny Boston Ramen Workshop;Insider Food;https://www.youtube.com/watch?v=H030kvQqrDA;2019-09-08T16:00:02Z;2019;9;Comida
134;X6fkP_5IHV0;The Best Deep Dish Pizza In Chicago  -  Best Of The Best;Insider Food;https://www.youtube.com/watch?v=X6fkP_5IHV0;2019-09-07T16:00:12Z;2019;9;Comida
135;XN6ZJUC8V1o;EP 20 Shri Hemkunt Sahib Yatra plus valley of Flowers  -  Uttarakhand;visa2explore;https://www.youtube.com/watch?v=XN6ZJUC8V1o;2019-09-15T03:30:03Z;2019;9;Viaje
136;MURPf_6r8z4;Olive Wagyu in Japan - The rarest Steak in the World;Aden Films;https://www.youtube.com/watch?v=MURPf_6r8z4;2019-10-07T14:13:38Z;2019;10;Comida
137;z3PdVAviXfg;"Be There for The World&#39;s Greatest Show";EXPO City Dubai;https://www.youtube.com/watch?v=z3PdVAviXfg;2019-10-14T02:36:37Z;2019;10;Evento
138;YtZZ-hxz9TI;Швейцария. Почти идеальная страна. Большой Выпуск.;Антон Птушкин;https://www.youtube.com/watch?v=YtZZ-hxz9TI;2019-10-15T08:14:27Z;2019;10;Viaje
139;2558AJjxkDs;Cycling Adventure - Experience Ehime Japan 2020;Experience Ehime Japan;https://www.youtube.com/watch?v=2558AJjxkDs;2019-10-31T03:36:03Z;2019;10;Viaje
140;ImpROVueIcE;How Dutch Gouda Is Made At A 100-Year-Old Family Farm  -  Regional Eats  -  Insider Food;Insider Food;https://www.youtube.com/watch?v=ImpROVueIcE;2019-10-23T16:00:06Z;2019;10;Comida
141;vefYSpazROY;"Ce MONSTRE m&#39;à TIRÉ SOUS L&#39;EAU (Pêche à la ligne à main)  - Cyril Chauquet";Cyril Chauquet;https://www.youtube.com/watch?v=vefYSpazROY;2019-10-13T14:00:11Z;2019;10;Evento
142;u03kNQNclGY;TALLEST HUMANS ON EARTH (South Sudan) - 7.5 FEET!;Drew Binsky;https://www.youtube.com/watch?v=u03kNQNclGY;2019-10-15T18:49:15Z;2019;10;Viaje
143;gYO1uk7vIcc;Magic of Hong Kong. Mind-blowing cyberpunk drone video of the craziest Asia’s city by Timelab.pro;Timelab Pro;https://www.youtube.com/watch?v=gYO1uk7vIcc;2019-10-07T13:47:44Z;2019;10;Viaje
144;vp-8-WXeq-E;What It Takes To Be A First Class Flight Attendant For Emirates;Insider Business;https://www.youtube.com/watch?v=vp-8-WXeq-E;2019-10-14T14:00:07Z;2019;10;Evento
145;nnG1oUkWBa8;Scotland the Brave by the Massed Bands on the march after the 2019 Dufftown Highland Games in Moray;Braemar Media;https://www.youtube.com/watch?v=nnG1oUkWBa8;2019-10-10T13:40:35Z;2019;10;Evento
146;767UcLMZTbo;Why Japanese Swords Are So Expensive  -  So Expensive;Insider Business;https://www.youtube.com/watch?v=767UcLMZTbo;2019-10-12T15:00:01Z;2019;10;Comida
147;2NutfCHAyNM;What Cheese Looks Like Around The World;Insider Food;https://www.youtube.com/watch?v=2NutfCHAyNM;2019-10-01T20:00:02Z;2019;10;Comida
148;LLU_S0DJjrw;Shaima Pilots the ETIHAD A380 out of Abu Dhabi;Just Planes;https://www.youtube.com/watch?v=LLU_S0DJjrw;2019-10-06T09:30:15Z;2019;10;Viaje
149;VnvnS5dlKZA;Top 10 SCARIEST Rides - Fear of Heights;Theme Park Crazy;https://www.youtube.com/watch?v=VnvnS5dlKZA;2019-10-20T23:14:07Z;2019;10;Evento
150;L0_xrFtnWv8;The Best Hot Chocolate In London  -  Best Of The Best  -  Food Insider;Insider Food;https://www.youtube.com/watch?v=L0_xrFtnWv8;2019-10-19T16:00:02Z;2019;10;Comida
151;tybOi4hjZFQ;Guided Wim Hof Method Breathing;Wim Hof;https://www.youtube.com/watch?v=tybOi4hjZFQ;2019-11-26T15:10:00Z;2019;11;Salud
152;HL25xomAU3g;NFL Everyday Recipe DVC - 25sec;National Foods Limited;https://www.youtube.com/watch?v=HL25xomAU3g;2019-11-07T11:32:35Z;2019;11;Comida
153;e_TxH59MclA;Day in the Life of a Japanese Game Programmer;Paolo fromTOKYO;https://www.youtube.com/watch?v=e_TxH59MclA;2019-11-30T00:00:06Z;2019;11;Vida cotidiana
154;tMFnxRZqEnw;The Real Value of Travel ✈ Wego;Wego Arabia;https://www.youtube.com/watch?v=tMFnxRZqEnw;2019-11-21T05:54:36Z;2019;11;Viaje
155;t3rKrTehORY;Day in the Life of a Japanese Manga Creator;Paolo fromTOKYO;https://www.youtube.com/watch?v=t3rKrTehORY;2019-11-16T00:00:05Z;2019;11;Vida cotidiana
156;Uc1S43xJ1xY;Most PAINFUL experience of my life 😫 Samoan Traditional TATTOO  (Expedition Drenched S01 Ep. 22);Expedition Drenched;https://www.youtube.com/watch?v=Uc1S43xJ1xY;2019-11-11T19:04:48Z;2019;11;Viaje
157;512EAAsksVc;Cheetahs - High-speed hunters of the Savannah;Free High-Quality Documentaries;https://www.youtube.com/watch?v=512EAAsksVc;2019-11-07T16:27:45Z;2019;11;Documentales
158;a5yP1yqGEMo;$2 Ramen VS $100 Ramen in Tokyo, Japan!!! Never Seen Before!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=a5yP1yqGEMo;2019-11-14T12:26:16Z;2019;11;Comida
159;q8u3-3Y1xno;What First, Business, And Economy Classes Are Like On Emirates  -  Business Insider;Insider Business;https://www.youtube.com/watch?v=q8u3-3Y1xno;2019-11-21T16:00:07Z;2019;11;Viaje
160;xiFEzexSdIQ;ESCAPAR de un PAIS en GUERRA  -  África #51  -  Vuelta al mundo en moto;Nico - Ride Me Five;https://www.youtube.com/watch?v=xiFEzexSdIQ;2019-11-24T18:00:11Z;2019;11;Viaje
161;9R8LzNUW4s4;$6 Lobster VS $460 Lobster in Vietnam!!! (Biggest Lobster in Vietnam!);Best Ever Food Review Show;https://www.youtube.com/watch?v=9R8LzNUW4s4;2019-11-06T12:39:41Z;2019;11;Comida
162;JJPmoHR7DlU;What McDonald’s Menu Items Look Like Around The World;Insider Food;https://www.youtube.com/watch?v=JJPmoHR7DlU;2019-11-23T17:00:05Z;2019;11;Comida
163;eJP93u7n5Ok;"The World&#39;s LONGEST Flight - QANTAS London to Sydney";Sam Chui;https://www.youtube.com/watch?v=eJP93u7n5Ok;2019-11-16T05:30:59Z;2019;11;Viaje
164;uwZcEOdRwE4;We Shutdown a Scam Call Centre in India!;Karl Rock;https://www.youtube.com/watch?v=uwZcEOdRwE4;2019-11-17T06:30:02Z;2019;11;Evento
165;K6aZZE-blAQ;Japanese Kobe Beef Factory!!! MOST EXPENSIVE Meat in the World!!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=K6aZZE-blAQ;2019-12-01T12:26:16Z;2019;11;Comida
166;hO6uWAvv2Ss;Flight Filters;KAYAK;https://www.youtube.com/watch?v=hO6uWAvv2Ss;2019-12-19T21:59:00Z;2019;12;Viaje
167;jpTwHAt0Zxw;Why This Portuguese Sardine Cannery Swears By Its 100-Year-Old Method  -  Regional Eats;Insider Food;https://www.youtube.com/watch?v=jpTwHAt0Zxw;2019-12-11T17:00:12Z;2019;12;Comida
168;yC-DDo3ESwA;Day in the Life of a Typical Japanese University Student;Paolo fromTOKYO;https://www.youtube.com/watch?v=yC-DDo3ESwA;2019-12-27T23:59:05Z;2019;12;Vida cotidiana
169;pps8hh5Aq-c;THAILAND CAPSULE HOTEL (sleeping in the Bangkok airport);Kara and Nate;https://www.youtube.com/watch?v=pps8hh5Aq-c;2019-12-09T14:45:00Z;2019;12;Viaje
170;gSgdaEPrcbA;How This 116-Year-Old Shop In Little Tokyo Makes Mochi;BuzzFeed Bring Me;https://www.youtube.com/watch?v=gSgdaEPrcbA;2019-12-30T19:00:11Z;2019;12;Comida
171;K6aZZE-blAQ;Japanese Kobe Beef Factory!!! MOST EXPENSIVE Meat in the World!!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=K6aZZE-blAQ;2019-12-01T12:26:16Z;2019;12;Comida
172;#¿NOMBRE?;STRANGE Seafood in Hong Kong!! RARE Seafood Tour from Fish Balls to Fish Stalls!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=-kyqE2Nq3pc;2019-12-24T12:24:08Z;2019;12;Comida
173;nYUTF6V2V50;Минус 40 в якутской деревне  -  НЕИЗВЕСТНАЯ РОССИЯ;Настоящее Время. Док;https://www.youtube.com/watch?v=nYUTF6V2V50;2019-12-17T17:25:44Z;2019;12;Viaje
174;6qXalNqIHHc;$6 vs. $100 KOREAN BUFFET! LOBSTER All You Can Eat in Seoul;Strictly Dumpling;https://www.youtube.com/watch?v=6qXalNqIHHc;2019-12-28T16:00:00Z;2019;12;Comida
175;xN75_QQODLw;Death of Street Food in Hong Kong!!! Protests, Pigeons, Dai Pai Dong!;Best Ever Food Review Show;https://www.youtube.com/watch?v=xN75_QQODLw;2019-12-19T12:22:23Z;2019;12;Comida
176;t8Zm2Y7QHsI;Explore Liberty Station - One Bright Idea;San Diego;https://www.youtube.com/watch?v=t8Zm2Y7QHsI;2019-12-18T00:26:11Z;2019;12;Viaje
177;app7Plr_b7Q;Exotic Hong Kong Food Tour!!! Chinese Cockroach Soup and more!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=app7Plr_b7Q;2019-12-22T12:25:47Z;2019;12;Comida
178;eOr0j9dyqd8;Колорадо. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;https://www.youtube.com/watch?v=eOr0j9dyqd8;2019-12-29T09:30:03Z;2019;12;Viaje
179;HGs9e8j54vA;How Traditional English Stilton Cheese Is Made At A 100-Year-Old Dairy  -  Regional Eats;Insider Food;https://www.youtube.com/watch?v=HGs9e8j54vA;2019-12-04T17:00:07Z;2019;12;Comida
180;wf62R6yQXmM;Техас. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;https://www.youtube.com/watch?v=wf62R6yQXmM;2019-12-15T09:30:02Z;2019;12;Viaje
181;0pQS0r25a9M;Maxcolchon, bienvenidos al descanso;MAXCOLCHON;https://www.youtube.com/watch?v=0pQS0r25a9M;2020-01-14T11:28:21Z;2020;1;Viaje
182;D8A_Hu_WqeQ;Day in the Life of a Japanese Delivery Worker;Paolo fromTOKYO;https://www.youtube.com/watch?v=D8A_Hu_WqeQ;2020-01-17T23:59:23Z;2020;1;Vida cotidiana
183;XEQ6fmcBOWo;"Expo 2020  -  Arts &amp; Culture";EXPO City Dubai;https://www.youtube.com/watch?v=XEQ6fmcBOWo;2020-01-19T13:07:40Z;2020;1;Evento
184;KMIsN41PMv0;What Happens Here, Only Happens Here: Key of Vegas;Visit Las Vegas;https://www.youtube.com/watch?v=KMIsN41PMv0;2020-01-30T17:00:05Z;2020;1;Viaje
185;FuFv4iF8wgg;100th COUNTRY DOCUMENTARY;Kara and Nate;https://www.youtube.com/watch?v=FuFv4iF8wgg;2020-01-28T15:00:02Z;2020;1;Viaje
186;69O1FyBcnR8;Entrare da soli in Corea Del Nord 🇰🇵 - EP.1;Progetto Happiness;https://www.youtube.com/watch?v=69O1FyBcnR8;2020-01-22T18:00:00Z;2020;1;Viaje
187;R-07lW6jsDw;HOW TO TRAVEL BALI - 14 Days in Paradise;Lost LeBlanc;https://www.youtube.com/watch?v=R-07lW6jsDw;2020-01-07T13:19:12Z;2020;1;Viaje
188;8RPH6VqckqU;"India&#39;s FOOD Temple! THE HOLIEST FOOD IN THE WORLD 🚩";Karl Rock;https://www.youtube.com/watch?v=8RPH6VqckqU;2020-01-09T06:30:00Z;2020;1;Comida
189;XeH1oxu5lv8;5 Food Trends That Lived And Died This Decade;Insider Food;https://www.youtube.com/watch?v=XeH1oxu5lv8;2020-01-01T21:00:02Z;2020;1;Comida
190;WvRnNjd0wNo;How Noodles Are Eaten Around The World;Insider Food;https://www.youtube.com/watch?v=WvRnNjd0wNo;2020-01-04T17:00:07Z;2020;1;Comida
191;SWW8KOMOJiw;Top 10 Disney Ride Breakdowns Pt 2  -  Stuck on Disney Rides;TPMvids;https://www.youtube.com/watch?v=SWW8KOMOJiw;2020-01-26T18:31:13Z;2020;1;Evento
192;NFZ4EFXT344;The most dangerous moments - When film makers risk their lives;Free High-Quality Documentaries;https://www.youtube.com/watch?v=NFZ4EFXT344;2020-01-20T11:34:09Z;2020;1;Documentales
193;Hgq1LoAqMgg;The BEST Noodles in the WORLD!!! Chinese FIRE NOODLE + Street Food Tour of Chongqing - EXTREME!!!;The Food Ranger;https://www.youtube.com/watch?v=Hgq1LoAqMgg;2020-01-11T14:00:02Z;2020;1;Comida
194;AzkOuH1KKvQ;Тихуана. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;https://www.youtube.com/watch?v=AzkOuH1KKvQ;2020-01-12T09:30:03Z;2020;1;Viaje
195;HkgQzSm2GLg;How Traditional Spanish Chorizo Is Made  -  Regional Eats;Insider Food;https://www.youtube.com/watch?v=HkgQzSm2GLg;2020-01-01T17:00:04Z;2020;1;Comida
196;_7E57f7a3Sg;M.I.C.E. in the Philippines;Tourism Philippines;https://www.youtube.com/watch?v=_7E57f7a3Sg;2020-02-11T05:47:40Z;2020;2;Viaje
197;RrniEJHByV4;Day in the Life of a Japanese Mom and Baby in Tokyo;Paolo fromTOKYO;https://www.youtube.com/watch?v=RrniEJHByV4;2020-02-14T23:59:28Z;2020;2;Vida cotidiana
198;HpZAez2oYsA;🔴 4K Live Cam of Ponte delle Guglie Venice - View from Hotel Filù Venezia  - Live stream ライブカメラ;I Love You Venice;https://www.youtube.com/watch?v=HpZAez2oYsA;2020-02-25T17:28:35Z;2020;2;Viaje
199;_fPV05xpVZE;#StepOnEarth - Turkish Airlines;Turkish Airlines;https://www.youtube.com/watch?v=_fPV05xpVZE;2020-02-02T22:28:59Z;2020;2;Viaje
200;7UNIwBtYEDE;Мальдивы. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;https://www.youtube.com/watch?v=7UNIwBtYEDE;2020-02-16T09:29:59Z;2020;2;Viaje
201;2hXmt1lQbos;Dive into Birch Aquarium at Scripps - One Bright Idea;San Diego;https://www.youtube.com/watch?v=2hXmt1lQbos;2020-02-14T00:10:56Z;2020;2;Viaje
202;oIuuZLZtnfA;"600 POUND WATER BUFFALO!! Bangladesh&#39;s Secret Youtube Food Village!!!";Best Ever Food Review Show;https://www.youtube.com/watch?v=oIuuZLZtnfA;2020-02-02T12:21:21Z;2020;2;Comida
203;xC2PY4-TW9g;JAMES BONDS SECRET $60 MILLION DOLLAR MEGAYACHT!;TheYachtGuy Official;https://www.youtube.com/watch?v=xC2PY4-TW9g;2020-02-25T20:50:39Z;2020;2;Viaje
204;fq70UHD8DrM;25 Most Amazing Ancient Ruins of the World;touropia;https://www.youtube.com/watch?v=fq70UHD8DrM;2020-03-01T19:54:29Z;2020;2;Viaje
205;DpzFpgurJoQ;Пхукет. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;https://www.youtube.com/watch?v=DpzFpgurJoQ;2020-02-02T09:30:04Z;2020;2;Viaje
206;Yp5PxHPjw70;"More Religious Scams in India - SAY &quot;NO!&quot;";Karl Rock;https://www.youtube.com/watch?v=Yp5PxHPjw70;2020-02-10T06:30:02Z;2020;2;Vida cotidiana
207;NwZzZ2I5XWY;Jim’s South Street Makes The Quintessential Philly Cheesesteak  -  Legendary Eats  -  Food Insider;Insider Food;https://www.youtube.com/watch?v=NwZzZ2I5XWY;2020-02-06T17:00:09Z;2020;2;Comida
208;gqIoeiYF4es;The Easiest Alphabet?;Nas Daily;https://www.youtube.com/watch?v=gqIoeiYF4es;2020-02-29T12:00:13Z;2020;2;Documentales
209;uDVTm1Xbc9k;Fantastic Cockpit Views AIRBUS A380 Takeoff  -  8 Cameras;Just Planes;https://www.youtube.com/watch?v=uDVTm1Xbc9k;2020-02-02T13:00:10Z;2020;2;Viaje
210;ojMukKCv-Hc;We boarded a cruise to ANTARCTICA (FULL SHIP TOUR);Kara and Nate;https://www.youtube.com/watch?v=ojMukKCv-Hc;2020-03-02T17:45:00Z;2020;2;Viaje
211;sBkmKu4Acog;Day in the Life of a Japanese Housewife in Tokyo;Paolo fromTOKYO;https://www.youtube.com/watch?v=sBkmKu4Acog;2020-03-06T23:57:23Z;2020;3;Vida cotidiana
212;MkY373SFzzU;Secret Diet of Myanmar MONKS!!! Live to 100!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=MkY373SFzzU;2020-03-25T12:34:24Z;2020;3;Comida
213;NPe3BUsq1K0;Doha Qatar 4K. Sights, Economy and World Cup 2022;CoolVision;https://www.youtube.com/watch?v=NPe3BUsq1K0;2020-03-20T21:46:03Z;2020;3;Viaje
214;lrbZOeX4isM;"INSANE Old Delhi Muslim WEDDING Feast ! 2000 PEOPLE + Cooking &amp; Tasting with LOCAL CHEFS";Delhi Food Walks;https://www.youtube.com/watch?v=lrbZOeX4isM;2020-03-07T12:30:02Z;2020;3;Comida
215;6RUfOU_Dqw8;"DAILY LIFE ONBOARD A CRUISE IN ANTARCTICA (what it&#39;s really like)";Kara and Nate;https://www.youtube.com/watch?v=6RUfOU_Dqw8;2020-03-16T15:31:58Z;2020;3;Viaje
216;fq70UHD8DrM;25 Most Amazing Ancient Ruins of the World;touropia;https://www.youtube.com/watch?v=fq70UHD8DrM;2020-03-01T19:54:29Z;2020;3;Viaje
217;rUElMazmPiQ;Emirates Women Pilot Boeing 777 into Quito  -  Cockpit Views;Just Planes;https://www.youtube.com/watch?v=rUElMazmPiQ;2020-03-08T14:00:13Z;2020;3;Viaje
218;S0J-qdJSfbA;Archivo Secreto Vaticano. Expediente Cisneros: Los Secretos del Cardenal. Documental. La Luna TV;La Luna TV Multimedia;https://www.youtube.com/watch?v=S0J-qdJSfbA;2020-03-20T15:28:43Z;2020;3;Documentales
219;1fdki213W6c;St. Croix A Vibe Like No Other  -  Hidden Gem of the Caribbean;VisitUSVI;https://www.youtube.com/watch?v=1fdki213W6c;2020-03-11T17:39:50Z;2020;3;Viaje
220;e-6dh8HrwxI;Undiscovered IRANIAN STREET FOOD Tour!!  -  Ancient Bazaar of Tabriz, Iran!;Mark Wiens;https://www.youtube.com/watch?v=e-6dh8HrwxI;2020-03-08T13:00:06Z;2020;3;Comida
221;TnsCjFWesyU;Wine Pairs with Adventure. Wine pairs with Portugal.;Visit Portugal;https://www.youtube.com/watch?v=TnsCjFWesyU;2020-03-04T12:15:17Z;2020;3;Comida
222;ojMukKCv-Hc;We boarded a cruise to ANTARCTICA (FULL SHIP TOUR);Kara and Nate;https://www.youtube.com/watch?v=ojMukKCv-Hc;2020-03-02T17:45:00Z;2020;3;Viaje
223;My3aM7OlmzQ;MITSUBISHI MOTORS  -  #DESACELERE;Mitsubishi Motors BR;https://www.youtube.com/watch?v=My3aM7OlmzQ;2020-03-26T00:10:25Z;2020;3;Viaje
224;uQglfHowW4Q;What 23 Sandwiches Look Like Around The World;Insider Food;https://www.youtube.com/watch?v=uQglfHowW4Q;2020-03-21T16:00:25Z;2020;3;Comida
225;MZJcYETgsyY;"The World&#39;s Hardest Travel Visas to Get ($3,000?)";Drew Binsky;https://www.youtube.com/watch?v=MZJcYETgsyY;2020-03-30T22:08:21Z;2020;3;Viaje
226;ea5uxRmRe8Y;Саудовская Аравия. Нефть, туризм и большие перемены. Большой Выпуск.;Антон Птушкин;https://www.youtube.com/watch?v=ea5uxRmRe8Y;2020-04-14T08:15:53Z;2020;4;Viaje
227;3sbU567-6Sk;Dream Now - Visit Later #DiscoverGermanyFromHome;germanytourism;https://www.youtube.com/watch?v=3sbU567-6Sk;2020-04-23T14:21:40Z;2020;4;Viaje
228;1-6zb_TZ23U;RARE Tribal Food of Namibia!! Himba Life and Food!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=1-6zb_TZ23U;2020-04-17T12:31:10Z;2020;4;Comida
229;_RfGrcGUddM;Taiwanese Handmade Candy;DancingBacons;https://www.youtube.com/watch?v=_RfGrcGUddM;2020-04-29T12:51:05Z;2020;4;Comida
230;ZyXUzhTn0kI;How Traditional French Butter Is Made In Brittany  -  Regional Eats;Insider Food;https://www.youtube.com/watch?v=ZyXUzhTn0kI;2020-04-08T19:00:11Z;2020;4;Comida
231;3ouVqSaAkLY;Day in the Life of a Japanese Casino Worker Pachinko;Paolo fromTOKYO;https://www.youtube.com/watch?v=3ouVqSaAkLY;2020-04-03T23:59:35Z;2020;4;Vida cotidiana
232;67vKK_UAg20;"The world&#39;s weirdest creatures";Free High-Quality Documentaries;https://www.youtube.com/watch?v=67vKK_UAg20;2020-04-14T11:07:45Z;2020;4;Documentales
233;KMyjGvOjCcU;"Two Brothers Make New York&#39;s Spiciest, Juiciest Birria Tacos  -  Food Insider";Insider Food;https://www.youtube.com/watch?v=KMyjGvOjCcU;2020-04-25T16:00:12Z;2020;4;Comida
234;gGlL9dkxhSc;Food in Africa!! EPIC Food Tour from Namibia to Nigeria!!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=gGlL9dkxhSc;2020-04-07T12:57:27Z;2020;4;Comida
235;AQJPmO4PmrI;Types of Passenger Cars Part 2: Train Talk Ep. 27;CoasterFan2105;https://www.youtube.com/watch?v=AQJPmO4PmrI;2020-04-03T16:00:09Z;2020;4;Documentales
236;nZX9tSosTOA;H10 Big Sur Spot;h10hotels;https://www.youtube.com/watch?v=nZX9tSosTOA;2020-04-27T08:27:19Z;2020;4;Viaje
237;sLR5pVza-qU;Nigeria’s Bushmeat Farms!! Eating Giant Rat with Miss Nigeria!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=sLR5pVza-qU;2020-04-29T12:25:43Z;2020;4;Comida
238;T4NOt727wqI;20 Comfort Foods From Around The World  -  Around The World  -  Food Insider;Insider Food;https://www.youtube.com/watch?v=T4NOt727wqI;2020-04-05T16:00:21Z;2020;4;Comida
239;GWwCPp92ayw;What Dessert Looks Like In 33 Countries Around the World;Insider Food;https://www.youtube.com/watch?v=GWwCPp92ayw;2020-04-11T16:00:05Z;2020;4;Comida
240;aFLFujQNX9s;How to Make Korean Fried Chicken in 15 Minutes Recipe l Better Than Restaurants;Aaron and Claire;https://www.youtube.com/watch?v=aFLFujQNX9s;2020-04-01T01:00:00Z;2020;4;Comida
241;eXBrn5wvl4A;햄 치즈 에그 토스트 / ham cheese egg toast - korean street food;야미보이 Yummyboy;https://www.youtube.com/watch?v=eXBrn5wvl4A;2020-05-03T12:00:17Z;2020;5;Comida
242;ZMaW6TamNAc;"US vs UK McDonald&#39;s  -  Food Wars";Insider Food;https://www.youtube.com/watch?v=ZMaW6TamNAc;2020-05-12T16:00:16Z;2020;5;Comida
243;J8UmDG4i0iU;"Extreme Bushmeat!! Nigeria&#39;s WILD Animal Markets!!";Best Ever Food Review Show;https://www.youtube.com/watch?v=J8UmDG4i0iU;2020-05-06T12:25:52Z;2020;5;Comida
244;w3rxxi0BVxE;100% Pure New Zealand. A Journey of Reflection.;100% Pure New Zealand;https://www.youtube.com/watch?v=w3rxxi0BVxE;2020-05-28T20:37:01Z;2020;5;Viaje
245;nk30SiXAWkk;“Bir Zafer Anıtı: İstanbul Havalimanı” Belgeseli;Istanbul Airport TV;https://www.youtube.com/watch?v=nk30SiXAWkk;2020-05-31T17:00:12Z;2020;5;Documentales
246;fsem5CKn-pk;"Chicago&#39;s Most Legendary Cheeseburger  -  Legendary Eats  -  Insider Food";Insider Food;https://www.youtube.com/watch?v=fsem5CKn-pk;2020-05-15T16:00:30Z;2020;5;Comida
247;tRSfVlNR8JM;"Africa&#39;s CHEAPEST Street Food!! Lagos, Nigeria Food Tour!!";Best Ever Food Review Show;https://www.youtube.com/watch?v=tRSfVlNR8JM;2020-05-20T12:27:07Z;2020;5;Comida
248;U9J6v-6LOC0;"BEST &amp; WORST INSTANT NOODLES! Trying EVERY Instant Noodle Quest (Part 1)";Strictly Dumpling;https://www.youtube.com/watch?v=U9J6v-6LOC0;2020-05-28T17:05:46Z;2020;5;Comida
249;TyUnJy4z5Mw;Будда с Лэшаня, тоннель Голян, паломничество на Фаньцзиншань. Китай. Мир наизнанку 11 сезон 16 серия;МИР НАИЗНАНКУ;https://www.youtube.com/watch?v=TyUnJy4z5Mw;2020-05-07T18:00:10Z;2020;5;Viaje
250;RYHs4tV3vcY;Mexican Street Food in Tijuana 🇲🇽 INSANE TACOS TOUR IN MEXICO 🌮(Part 2);Mark Wiens;https://www.youtube.com/watch?v=RYHs4tV3vcY;2020-05-17T13:00:14Z;2020;5;Comida
251;UT4hPMISonI;Mexican Street Food 🇲🇽!! ULTIMATE TACOS TOUR 🌮 in Tijuana, Mexico! (Part 1);Mark Wiens;https://www.youtube.com/watch?v=UT4hPMISonI;2020-05-13T13:00:22Z;2020;5;Comida
252;ytNjp0_qVng;Fire Noodle Challenge w/ Mark Wiens and Food Ranger!! (10x SPICE!!);Best Ever Food Review Show;https://www.youtube.com/watch?v=ytNjp0_qVng;2020-05-10T12:59:34Z;2020;5;Comida
253;M-QmUR7kxP8;AS VÍTIMAS DO VULCÃO VESÚVIO QUE VIRARAM PEDRA E A ASSUSTADORA CIDADE DE POMPEIA NA ITÁLIA  -  Ep. 150;Viaje Por Conta;https://www.youtube.com/watch?v=M-QmUR7kxP8;2020-05-10T21:29:22Z;2020;5;Viaje
254;yZddVF6GRww;Planet Poor Vs Planet Rich;Nas Daily;https://www.youtube.com/watch?v=yZddVF6GRww;2020-05-23T12:00:29Z;2020;5;Documentales
255;cGa4ZJF2Nr8;How Brie De Meaux Cheese Is Made In France  -  Regional Eats;Insider Food;https://www.youtube.com/watch?v=cGa4ZJF2Nr8;2020-05-19T16:00:15Z;2020;5;Comida
256;04a6gBeftbY;Нил  -  Дикие реки Африки  -  Discovery;Discovery Channel Россия;https://www.youtube.com/watch?v=04a6gBeftbY;2020-06-29T09:53:32Z;2020;6;Documentales
257;767xPIjTm2A;Vietnam $100 Street Food Challenge!! Best Street Food in Saigon!!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=767xPIjTm2A;2020-06-07T12:27:52Z;2020;6;Comida
258;1OTZ9rjFv78;Shihmen Reservoir Live Cam 石門水庫即時影像;桃園智慧旅遊雲 Taoyuan Travel;https://www.youtube.com/watch?v=1OTZ9rjFv78;2020-06-05T00:43:21Z;2020;6;Viaje
259;z_mlibCfgFI;Daxi Old Street Live Cam 大溪老街即時影像;桃園智慧旅遊雲 Taoyuan Travel;https://www.youtube.com/watch?v=z_mlibCfgFI;2020-06-05T01:20:11Z;2020;6;Viaje
260;PN4oIDXpL3w;Top 10 SCARIEST Underwater Animatronics - SUBMECHANOPHOBIA;Theme Park Crazy;https://www.youtube.com/watch?v=PN4oIDXpL3w;2020-06-12T14:59:18Z;2020;6;Documentales
261;JDv9P6TEfi4;1년이라도 아이들 옆에 있고 싶어 시작한 여행_달려라 미니버스, 빼빼가족 유라시아 여행기;KBS여행 걸어서 세계속으로;https://www.youtube.com/watch?v=JDv9P6TEfi4;2020-06-24T08:00:13Z;2020;6;Viaje
