n;id;titulo;canal;enlace;fecha;anyo;mes;tipo
30;I3asjPW-akQ;Do the math and then do Barcelona for less with the WestJet RBC® World Elite Mastercard‡.*;WestJet;https://www.youtube.com/watch?v=I3asjPW-akQ;2019-02-22T21:37:23Z;2019;2;Viaje
31;tVTT95C8J4o;Австралия, которую вы не знаете. Большой выпуск.;Антон Птушкин;https://www.youtube.com/watch?v=tVTT95C8J4o;2019-03-20T14:13:39Z;2019;3;Viaje
32;bXBwMqDjL04;Expo 2020 Dubai  -  Welcome the Future - Extended;EXPO City Dubai;https://www.youtube.com/watch?v=bXBwMqDjL04;2019-03-28T03:58:01Z;2019;3;Evento
33;E7sPgzPP4nI;Portuguese Waves (sneak peek);Visit Portugal;https://www.youtube.com/watch?v=E7sPgzPP4nI;2019-03-08T15:50:26Z;2019;3;Viaje
34;6SU7jn0z2ys;INDIAN Street Food $100 CHALLENGE in MUMBAI! Best Street Food in Mumbai!;Best Ever Food Review Show;https://www.youtube.com/watch?v=6SU7jn0z2ys;2019-03-31T12:26:02Z;2019;3;Comida
35;ph1vpnYIxJk;🔴 LIVE 24/7  Rolling Cam Venice - Live Cam in Venice Italy - Livecam en direct #venice;I Love You Venice;https://www.youtube.com/watch?v=ph1vpnYIxJk;2019-03-13T16:57:41Z;2019;3;Viaje
36;1LYc0J6EiT4;Анаконда, малярийные комары и эликсир молодости. Бразилия. Мир наизнанку 10 сезон 17 выпуск;МИР НАИЗНАНКУ;https://www.youtube.com/watch?v=1LYc0J6EiT4;2019-03-06T21:30:00Z;2019;3;Viaje
37;yCCyJD7cVKU;32 Places You Need To Eat At In London  -  The Ultimate List;Insider Food;https://www.youtube.com/watch?v=yCCyJD7cVKU;2019-03-18T16:00:07Z;2019;3;Comida
38;i7ZE8eK6lTQ;My Ultimate Flight - Flying the Supersonic Concorde;Sam Chui;https://www.youtube.com/watch?v=i7ZE8eK6lTQ;2019-03-08T13:03:51Z;2019;3;Viaje
39;O2Au0SXlATM;The Best Ice Cream In Los Angeles  -  Best Of The Best;Insider Food;https://www.youtube.com/watch?v=O2Au0SXlATM;2019-03-30T16:00:03Z;2019;3;Comida
40;e5t3mx8HBb0;Why Lucali Is The Most Legendary Pizza Restaurant In Brooklyn  -  Legendary Eats;Insider Food;https://www.youtube.com/watch?v=e5t3mx8HBb0;2019-03-06T17:00:04Z;2019;3;Comida
41;4cYOHJ2JnTo;Car Rental APP - Goldcar;GOLDCAR;https://www.youtube.com/watch?v=4cYOHJ2JnTo;2019-03-25T16:25:52Z;2019;3;Evento
42;ITnzZqTEWO0;Trailer  -  Born to Let Go - the series;Bonjour Québec;https://www.youtube.com/watch?v=ITnzZqTEWO0;2019-03-26T15:58:15Z;2019;3;Evento
43;OCo16eap0Pk;Minecraft Pe How To Make a Portal To The Jesus Dimension - Mcpe Portal To The Jesus!!!;SmoothMarky;https://www.youtube.com/watch?v=OCo16eap0Pk;2019-03-27T21:19:13Z;2019;3;Evento
44;00ZXaXIABMY;15 Tips for First-Time Travellers to Japan  -  japan-guide.com;japan-guide.com;https://www.youtube.com/watch?v=00ZXaXIABMY;2019-03-27T23:38:34Z;2019;3;Viaje
45;g6BmWyX8Cto;25 Ice Cream Cones For Your Next Brain Freeze  -  The Ultimate List;Insider Food;https://www.youtube.com/watch?v=g6BmWyX8Cto;2019-03-25T16:00:04Z;2019;3;Comida
46;NQDom2gxiVc;Street Food in Peshawar - GOLDEN PULAO Mountain + Charsi Tikka Kabab + Pakistani Street Food Tour!;The Food Ranger;https://www.youtube.com/watch?v=NQDom2gxiVc;2019-04-27T14:00:05Z;2019;4;Comida
47;Gb0TQ7VeApY;Япония, которая взрывает мозг. Большой выпуск.;Антон Птушкин;https://www.youtube.com/watch?v=Gb0TQ7VeApY;2019-04-16T13:05:25Z;2019;4;Viaje
48;d0njuYFGeO0;SAVED FROM A SCAMMER in India (Beggar Scam Exposed);Karl Rock;https://www.youtube.com/watch?v=d0njuYFGeO0;2019-04-04T06:30:02Z;2019;4;Viaje
49;KPqK5LyGsiE;How Italian Gorgonzola Cheese Is Made  -  Regional Eats  -  Food Insider;Insider Food;https://www.youtube.com/watch?v=KPqK5LyGsiE;2019-04-04T16:00:07Z;2019;4;Comida
50;4wkvaEM4bIg;How Emirates Makes 225,000 In-Flight Meals A Day;Insider Business;https://www.youtube.com/watch?v=4wkvaEM4bIg;2019-04-29T15:00:01Z;2019;4;Evento
51;SbLHah4XUwk;"The World&#39;s Most Dangerous Approach - Paro, Bhutan";Sam Chui;https://www.youtube.com/watch?v=SbLHah4XUwk;2019-04-20T10:01:01Z;2019;4;Viaje
52;YdiWTYkY1uY;Day in the Life of a Typical Japanese Office Worker in Tokyo;Paolo fromTOKYO;https://www.youtube.com/watch?v=YdiWTYkY1uY;2019-04-05T23:59:18Z;2019;4;Evento
53;OSRILHv0nQI;14 Reasons the Philippines Is Different from the Rest of the World;BRIGHT SIDE;https://www.youtube.com/watch?v=OSRILHv0nQI;2019-04-22T17:00:02Z;2019;4;Viaje
54;cuVHriqJJJE;Street Food in Pakistan - HARDCORE Chicken, GOAT Foot PAYA + Pakistani Street Food TOUR of Lahore!!!;The Food Ranger;https://www.youtube.com/watch?v=cuVHriqJJJE;2019-04-13T14:00:04Z;2019;4;Comida
55;4A8Fjgg8FXc;RECORD BREAKING Thali in Pune, India!!! (Matt Stonie Has NO Chance);Best Ever Food Review Show;https://www.youtube.com/watch?v=4A8Fjgg8FXc;2019-04-07T12:27:33Z;2019;4;Comida
56;MysqcwTB4So;LA Food Truck Serves The Juiciest Tacos  -  Food Insider;Insider Food;https://www.youtube.com/watch?v=MysqcwTB4So;2019-04-07T16:00:04Z;2019;4;Comida
57;XKqwBzQFRws;"Inside Europe&#39;s Biggest Caviar Farm  -  Regional Eats  -  Insider Food";Insider Food;https://www.youtube.com/watch?v=XKqwBzQFRws;2019-04-16T16:00:04Z;2019;4;Comida
