N;Logo;Channel;Watch time (mins);Stream time (mins);Peak viewers;Average viewers;Followers;Partnered;Mature;Language;mes;anyo
74;https://static-cdn.jtvnw.net/jtv_user_pictures/b2b33d75-f94e-42be-8104-9b64b3847aa0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;adcolmenarviejo;5670;135;60;42;94;false;false;Spanish;12;2020
75;https://static-cdn.jtvnw.net/jtv_user_pictures/2fc4dfdc-f6b8-42e0-954e-c2dbf9fda28b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;clubmarinaferrol;5520;165;51;33;45;false;false;Spanish;12;2020
76;https://static-cdn.jtvnw.net/jtv_user_pictures/63eb2d67-5c09-403f-82e2-7d8ab71098ce-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TeamBarcaPod;5520;150;57;37;176;false;false;Spanish;12;2020
77;https://static-cdn.jtvnw.net/jtv_user_pictures/edf47d1d-5827-4155-b45b-fc34e9b593bc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;DesdeElMonte;5400;105;71;51;10;false;false;Spanish;12;2020
78;https://static-cdn.jtvnw.net/jtv_user_pictures/81702b3b-bae1-4916-9a70-1528a8d42615-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Kisco70;5280;315;38;17;67;false;false;Spanish;12;2020
79;https://static-cdn.jtvnw.net/jtv_user_pictures/022d91eb-551d-4b51-973e-0c640f123640-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Rugby_Femenino;5190;555;21;9;107;false;false;Spanish;12;2020
80;https://static-cdn.jtvnw.net/jtv_user_pictures/bdbf6da3-86a9-4211-a8ea-f962a02466d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;basketcervantes;5130;255;28;20;156;false;false;Spanish;12;2020
81;https://static-cdn.jtvnw.net/jtv_user_pictures/7382aa9a-e3e1-4680-8915-32fbffe6aa0c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;juancholol07;4950;855;35;6;129;false;false;Spanish;12;2020
82;https://static-cdn.jtvnw.net/jtv_user_pictures/e9c0ab1f-04ed-46cd-af84-5289dd8964a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;cb_morvedre;4830;300;26;16;63;false;false;Spanish;12;2020
83;https://static-cdn.jtvnw.net/jtv_user_pictures/28435c47-9322-47e3-aaa3-2a90aa5645a9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;JaviZamoraDT;4785;120;52;40;43;false;false;Spanish;12;2020
84;https://static-cdn.jtvnw.net/jtv_user_pictures/24e6d775-ccd4-4963-bfea-ca34dacf2690-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;udeustovoley;4560;345;23;13;16;false;false;Spanish;12;2020
85;https://static-cdn.jtvnw.net/user-default-pictures-uv/ebe4cd89-b4f4-4cd9-adac-2f30151b4209-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ytbancrop;4560;135;46;34;59;false;false;Spanish;12;2020
86;https://static-cdn.jtvnw.net/jtv_user_pictures/67547be3-2467-454c-83f7-11e0d5a56ff9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Jatorkide_BKK;4560;270;31;17;43;false;false;Spanish;12;2020
87;https://static-cdn.jtvnw.net/jtv_user_pictures/36e866e9-9824-42fb-abab-06a2bbcb9462-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Martin_AVO;4425;345;27;13;336;false;true;Spanish;12;2020
88;https://static-cdn.jtvnw.net/jtv_user_pictures/ab128f94-26ac-4dd9-8c4f-5f936f7ce94d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;clubbaloncestosegorbe;4380;465;20;9;159;false;false;Spanish;12;2020
89;https://static-cdn.jtvnw.net/jtv_user_pictures/ff1a7944-4731-42a7-bb52-d0b67012af88-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;DiablosRojosMX;4305;900;8;5;30;false;false;Spanish;12;2020
90;https://static-cdn.jtvnw.net/jtv_user_pictures/023d460e-0d78-496e-be81-3e53fc9969be-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;pspfutbolsala;4305;210;39;21;49;false;false;Spanish;12;2020
91;https://static-cdn.jtvnw.net/jtv_user_pictures/f6865a08-523d-48f0-87d0-396fc0af10d7-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100;seniorn1masculinobori1;4245;360;30;12;17;false;false;Spanish;12;2020
92;https://static-cdn.jtvnw.net/jtv_user_pictures/1348f982-7c13-4d0f-994f-fc89c5de4406-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;DLadoaLado;4245;585;15;7;77;false;false;Spanish;12;2020
93;https://static-cdn.jtvnw.net/jtv_user_pictures/ca3e6698-6acb-4085-b351-37644dc369a2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;cnferrol;4185;165;38;25;45;false;false;Spanish;12;2020
94;https://static-cdn.jtvnw.net/jtv_user_pictures/b27259e2-2e79-4b75-83ab-b515cbb1a393-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Balonmano_Agustinos;4140;75;74;55;52;false;false;Spanish;12;2020
95;https://static-cdn.jtvnw.net/jtv_user_pictures/5ef60eaf-439c-402e-9e8e-f1b865048c6b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;LosViejosWines;4050;1005;9;4;869;false;false;Spanish;12;2020
96;https://static-cdn.jtvnw.net/jtv_user_pictures/8939e97a-ebb1-43e8-8eba-b47261ba68eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;lena_zumba;3795;465;15;8;193;false;false;Spanish;12;2020
97;https://static-cdn.jtvnw.net/jtv_user_pictures/4a691776-6036-4238-a5ce-6345f42ac4ae-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;balonmanotorrejon;3780;210;28;18;70;false;false;Spanish;12;2020
98;https://static-cdn.jtvnw.net/user-default-pictures-uv/294c98b5-e34d-42cd-a8f0-140b72fba9b0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;superw66;3750;240;30;16;19;false;false;Spanish;12;2020
99;https://static-cdn.jtvnw.net/user-default-pictures-uv/75305d54-c7cc-40d1-bb9c-91fbe85943c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;junjuvmasc;3705;180;34;21;50;false;false;Spanish;12;2020
100;https://static-cdn.jtvnw.net/jtv_user_pictures/641dfce1-16f9-4ad3-b479-34df5fd15646-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;cnecheyde;3660;75;60;49;55;false;false;Spanish;12;2020
1;https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ibai;22881300;255;129016;89731;4981840;true;false;Spanish;1;2021
2;https://static-cdn.jtvnw.net/jtv_user_pictures/aac9d1e5-725e-438c-9cf3-ac75ba1a8991-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;RealMadrid;8421135;1395;12676;6037;89539;true;false;Spanish;1;2021
3;https://static-cdn.jtvnw.net/jtv_user_pictures/d78d234a-f0b8-4805-96b1-d7bdf573e6c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ElChiringuitoTV;5782290;540;51374;10708;42952;true;false;Spanish;1;2021
4;https://static-cdn.jtvnw.net/jtv_user_pictures/79540c7d-73a0-4577-9456-11e6481a5b3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;tvcongo;2478945;870;4116;2849;9660;false;false;Spanish;1;2021
5;https://static-cdn.jtvnw.net/jtv_user_pictures/a2affdb6-d9e5-4e9d-a60f-bbd0a95b5596-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;marcalonso20;1392540;765;36457;1820;740;false;false;Spanish;1;2021
6;https://static-cdn.jtvnw.net/jtv_user_pictures/8bc5a933-2d10-49c3-8fd7-85975ac6bc30-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;PlanetaNBA;493860;4275;236;116;2711;true;false;Spanish;1;2021
7;https://static-cdn.jtvnw.net/jtv_user_pictures/1f7fcaac-4f59-4154-afad-483f794c8f2a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;internetvfutbol;492210;1695;1320;290;1260;true;false;Spanish;1;2021
8;https://static-cdn.jtvnw.net/jtv_user_pictures/028603bb-93ea-45d7-aa0e-f4c76dcc8d7a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TeamDUX;479940;330;4556;1454;88854;true;false;Spanish;1;2021
9;https://static-cdn.jtvnw.net/jtv_user_pictures/f49d8327-1d9c-408c-b86f-c7982fd85693-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;PalabradeGol;323430;675;892;479;4516;true;false;Spanish;1;2021
10;https://static-cdn.jtvnw.net/jtv_user_pictures/4526111a-ed0f-4283-81c2-1fe7de76b5ef-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;elchiringuitodejugones_tv;284955;465;1420;613;8749;false;false;Spanish;1;2021
11;https://static-cdn.jtvnw.net/jtv_user_pictures/9a8b5b6d-8647-4935-a036-cbc280d5796a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;RafaelEscrig;221895;1065;592;208;12008;true;false;Spanish;1;2021
12;https://static-cdn.jtvnw.net/jtv_user_pictures/39b55603-932d-4504-bd66-c823a39db034-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;mimoelaguila;218580;480;1650;455;1781;false;false;Spanish;1;2021
13;https://static-cdn.jtvnw.net/jtv_user_pictures/71ebd849-08f8-4915-aeff-f60bdd59d707-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;emilianocandido;138975;1260;259;110;4878;true;true;Spanish;1;2021
14;https://static-cdn.jtvnw.net/jtv_user_pictures/f6ce8863-3c5e-4fef-aa8c-78c2e78c2273-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;senoritaxxxgamer;134355;2520;120;53;880;false;false;Spanish;1;2021
15;https://static-cdn.jtvnw.net/jtv_user_pictures/570e509f-6851-4a35-880a-054053871f0b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;LaLiga;130305;675;512;193;3171;false;false;Spanish;1;2021
16;https://static-cdn.jtvnw.net/jtv_user_pictures/fbde0036-c905-42ab-ba98-847bb60e5ad5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;shaggyveneno;107460;75;2030;1433;144878;true;false;Spanish;1;2021
17;https://static-cdn.jtvnw.net/jtv_user_pictures/ddf9d080-f8a1-4939-963f-0e81ccabe05e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TeleCongo;98775;210;677;470;3501;false;false;Spanish;1;2021
18;https://static-cdn.jtvnw.net/jtv_user_pictures/3a9e39c8-606e-4dd0-ae68-4f66aae9d3b7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TheExaL04;97620;180;829;542;389278;true;false;Spanish;1;2021
19;https://static-cdn.jtvnw.net/jtv_user_pictures/c4075568-09cb-47c8-9f59-3473819d2bcb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;KaiserFutbol;93105;255;745;365;50521;true;false;Spanish;1;2021
20;https://static-cdn.jtvnw.net/jtv_user_pictures/49bdc39f-4b83-491b-8b99-8719ed8faca9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;gerardromero;75630;360;631;210;1937;true;false;Spanish;1;2021
21;https://static-cdn.jtvnw.net/jtv_user_pictures/ad0ffc8f-1407-452a-8dd0-221ebbac945e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;VMDeportes;75360;3555;203;21;1376;false;false;Spanish;1;2021
22;https://static-cdn.jtvnw.net/jtv_user_pictures/231cc071-ec5e-485e-8ca6-1839e48fb8e2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Dr_Nico;70815;390;332;182;1753;false;false;Spanish;1;2021
23;https://static-cdn.jtvnw.net/jtv_user_pictures/f4faad45-40b9-4b7f-90a6-96d85a380aa5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;CBClaret;53220;750;343;71;570;false;false;Spanish;1;2021
24;https://static-cdn.jtvnw.net/jtv_user_pictures/e8ce4f7a-7343-487f-9c93-7c0b9fd09774-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;MaSaik0;47520;210;434;226;354;false;false;Spanish;1;2021
25;https://static-cdn.jtvnw.net/jtv_user_pictures/a93ebe2e-b370-47b2-83bc-669639aca6a9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Balong;42120;480;139;88;5069;false;false;Spanish;1;2021
26;https://static-cdn.jtvnw.net/jtv_user_pictures/3981221e-0c34-485b-b126-649383e04905-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;NaranjaSanfer;41415;675;235;61;241;false;false;Spanish;1;2021
27;https://static-cdn.jtvnw.net/jtv_user_pictures/0af29526-4b6e-497a-a6c1-e6824cd55b5c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ElPostGrana;41325;480;632;86;238;false;false;Spanish;1;2021
28;https://static-cdn.jtvnw.net/jtv_user_pictures/b9ad9b90-893e-4590-ba34-e778c8423c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ArmandFutbolClub;39300;1185;85;33;1092;false;false;Spanish;1;2021
29;https://static-cdn.jtvnw.net/jtv_user_pictures/f4e1ec08-68e5-45d3-b326-46754782b295-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;NekanePlay;38790;150;357;259;31982;true;true;Spanish;1;2021
30;https://static-cdn.jtvnw.net/jtv_user_pictures/ef2aacbb-0205-4361-9f91-6a87bb58cc41-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;yeraialonso;37905;360;138;105;3459;false;false;Spanish;1;2021
31;https://static-cdn.jtvnw.net/jtv_user_pictures/4cccb031-fdee-4b42-8cc4-8d8ef48f8f5c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;CDReinoDeAragon;33645;600;93;56;134;false;false;Spanish;1;2021
32;https://static-cdn.jtvnw.net/jtv_user_pictures/9af9282f-6584-4aaf-a225-eaa2d8fea6a4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ZABALIVE;32760;225;244;146;3156;true;false;Spanish;1;2021
33;https://static-cdn.jtvnw.net/jtv_user_pictures/0054e9bb-0d27-46cc-bf2b-43cf3a23349c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;RCDMallorca1916;32685;1515;95;22;1131;true;false;Spanish;1;2021
34;https://static-cdn.jtvnw.net/jtv_user_pictures/1bd35729-b707-4bcc-a712-d93da61580ab-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;aldanamolina15;32415;720;257;45;116;false;false;Spanish;1;2021
35;https://static-cdn.jtvnw.net/jtv_user_pictures/8a1fa40f-f575-427a-8150-881b40e9e715-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;sbsportsmediapr;29535;255;249;116;67;false;false;Spanish;1;2021
36;https://static-cdn.jtvnw.net/jtv_user_pictures/4f990af1-651f-48ed-9dbe-935a6974a459-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;NidoAguilucho;28575;1605;50;18;137;false;false;Spanish;1;2021
37;https://static-cdn.jtvnw.net/jtv_user_pictures/e64b2f1b-7977-44dc-93a0-2a5ee3ffa933-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ointxetb;27885;480;115;58;134;false;false;Spanish;1;2021
38;https://static-cdn.jtvnw.net/jtv_user_pictures/458e2b64-c608-42bf-841a-f9c5d64aa26c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;easosbt;25725;495;104;52;248;false;false;Spanish;1;2021
39;https://static-cdn.jtvnw.net/jtv_user_pictures/1b47cc8c-bfb4-41f1-b31d-b2dbc619c2df-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;CFSMinaya;25335;315;121;80;94;false;false;Spanish;1;2021
40;https://static-cdn.jtvnw.net/jtv_user_pictures/e6142d6c-5dbd-4a72-b28f-57e91186f7dc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;transmisiondeportiva;23730;1290;232;18;208;false;false;Spanish;1;2021
41;https://static-cdn.jtvnw.net/jtv_user_pictures/1c8e7656-72a5-4c8a-b4ef-cafab95e2ffd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;NouBasquetTorrent;22740;300;143;76;267;false;false;Spanish;1;2021
42;https://static-cdn.jtvnw.net/user-default-pictures-uv/de130ab0-def7-11e9-b668-784f43822e80-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;sala_10_jdh;22275;345;164;65;117;false;false;Spanish;1;2021
43;https://static-cdn.jtvnw.net/jtv_user_pictures/67c2848d-96cb-4d0b-9c14-41f2bae41b7a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;imusonaudiovisuales;20865;255;177;82;131;false;false;Spanish;1;2021
44;https://static-cdn.jtvnw.net/jtv_user_pictures/8a1ed091-fc3e-4169-90ed-123ca585e78c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;PapuMasterNBA;20700;2235;36;9;175;false;true;Spanish;1;2021
45;https://static-cdn.jtvnw.net/jtv_user_pictures/66a34398-8398-4157-a153-02806963ca57-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;atletismoRFEA;20655;255;110;81;546;false;false;Spanish;1;2021
46;https://static-cdn.jtvnw.net/jtv_user_pictures/56a28c83-28a4-4ce3-808d-5a02cb52f5ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Rhyvic121;19575;60;591;326;100;false;false;Spanish;1;2021
47;https://static-cdn.jtvnw.net/jtv_user_pictures/20709e41-a37f-43fe-b1a9-fcec73b50f4d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;PepeBrasin;18540;105;194;177;2714;true;false;Spanish;1;2021
48;https://static-cdn.jtvnw.net/jtv_user_pictures/fbb4ea71-88e2-4be3-b769-35f980dbf49c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;JoyEvents;18300;135;175;136;61;false;false;Spanish;1;2021
49;https://static-cdn.jtvnw.net/jtv_user_pictures/c435eb13-8988-49b2-aaa1-6e9201e52faa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;eguesbaloncesto;16545;495;86;33;69;false;false;Spanish;1;2021
50;https://static-cdn.jtvnw.net/jtv_user_pictures/1cf961e3-bc91-4d33-816d-ff5e1477863e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;clubvoleiboljerez;15615;480;69;33;95;false;false;Spanish;1;2021
51;https://static-cdn.jtvnw.net/jtv_user_pictures/2a11b4c4-b7c3-440f-afd1-ea5a3e2f0e3c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;VGOJUDO;15210;420;62;36;136;false;false;Spanish;1;2021
52;https://static-cdn.jtvnw.net/jtv_user_pictures/725af5fb-eee3-4d0d-95d9-9477b814417d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;MoguerTelevision;14760;435;70;34;162;false;false;Spanish;1;2021
53;https://static-cdn.jtvnw.net/jtv_user_pictures/9cdf9e89-ea31-4220-9204-0a136d6b5846-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;voleipratvikings;13755;195;102;71;65;false;false;Spanish;1;2021
54;https://static-cdn.jtvnw.net/jtv_user_pictures/01ac3892-eb66-487e-9292-3be320c3b561-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;futsalvillarrobledo;12405;285;94;44;86;false;false;Spanish;1;2021
55;https://static-cdn.jtvnw.net/jtv_user_pictures/cc7379b0-8a80-4d0f-9c56-b4932fcff3cc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Achachancha;12360;675;32;18;6362;false;false;Spanish;1;2021
56;https://static-cdn.jtvnw.net/jtv_user_pictures/22f808fe-3bf7-4144-b7ba-29a95953a9a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;congotv_elchiringuito;12060;15;804;804;1505;false;false;Spanish;1;2021
57;https://static-cdn.jtvnw.net/jtv_user_pictures/762eeb4c-98ef-423c-8812-6c880c83796a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TNTSportsCL;12060;30;425;402;3585;true;true;Spanish;1;2021
58;https://static-cdn.jtvnw.net/jtv_user_pictures/e3cafdc2-8267-42b5-9223-d5d24c0a1ffa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;cbmarinpeixegalego;11775;330;58;36;88;false;false;Spanish;1;2021
59;https://static-cdn.jtvnw.net/jtv_user_pictures/aab0c6fd-10e0-4e6f-adf8-4fa10b872952-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;malbi_5;11535;345;54;33;544;false;false;Spanish;1;2021
60;https://static-cdn.jtvnw.net/jtv_user_pictures/b5080e2e-2f5e-4b1f-877c-aedd7044ee62-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;cablepremiumtv;11385;495;77;23;38;false;false;Spanish;1;2021
61;https://static-cdn.jtvnw.net/jtv_user_pictures/b27259e2-2e79-4b75-83ab-b515cbb1a393-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Balonmano_Agustinos;10785;270;113;40;104;false;false;Spanish;1;2021
62;https://static-cdn.jtvnw.net/jtv_user_pictures/c10825de-4a0c-4cf0-b9c6-9503b5c1532a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;clubvoleibolrubi;10755;360;47;30;47;false;false;Spanish;1;2021
63;https://static-cdn.jtvnw.net/jtv_user_pictures/641dfce1-16f9-4ad3-b479-34df5fd15646-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;cnecheyde;10695;165;143;65;106;false;false;Spanish;1;2021
64;https://static-cdn.jtvnw.net/jtv_user_pictures/ad087376-c66a-4a3f-9570-9c87a13ec724-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;laesmeraldasoto;10335;30;354;345;3157;false;false;Spanish;1;2021
65;https://static-cdn.jtvnw.net/jtv_user_pictures/37e36681-db43-4f64-8a5b-b89269337251-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;cbaraba;10200;135;101;76;22;false;false;Spanish;1;2021
66;https://static-cdn.jtvnw.net/jtv_user_pictures/e00fa2d3-9d74-439f-8d6c-f2fe4014457c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;CelticPulianasCF;10005;300;79;33;104;false;false;Spanish;1;2021
67;https://static-cdn.jtvnw.net/jtv_user_pictures/bdbf6da3-86a9-4211-a8ea-f962a02466d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;basketcervantes;9855;345;51;29;176;false;false;Spanish;1;2021
68;https://static-cdn.jtvnw.net/jtv_user_pictures/e9996277-6913-45c5-bd40-7b59000da360-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;xenonyemi;9795;840;24;12;3950;false;false;Spanish;1;2021
69;https://static-cdn.jtvnw.net/jtv_user_pictures/7a8d9990-eb94-4106-a043-41782efe0e26-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;LaProrroga_;9795;315;45;31;274;false;true;Spanish;1;2021
70;https://static-cdn.jtvnw.net/jtv_user_pictures/c3e19fb7-ad23-49ff-b462-ceb9d02091c4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;clubhandbolvilamajor;9480;150;106;63;69;false;false;Spanish;1;2021
71;https://static-cdn.jtvnw.net/jtv_user_pictures/367a36d8-9f1a-4a88-83c7-ad22c71fa985-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Twitch_AlanUlloa;9285;165;262;56;1950;false;false;Spanish;1;2021
72;https://static-cdn.jtvnw.net/jtv_user_pictures/5cc23a1d-3df1-49c0-9876-00608f19fae1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Danielfm_95;9165;120;103;76;87;false;false;Spanish;1;2021
73;https://static-cdn.jtvnw.net/jtv_user_pictures/81702b3b-bae1-4916-9a70-1528a8d42615-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Kisco70;9105;135;115;67;75;false;false;Spanish;1;2021
74;https://static-cdn.jtvnw.net/jtv_user_pictures/2518d792-bd40-41b8-886a-96d446093e4d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Marc__Castillo;9045;570;32;16;189;false;false;Spanish;1;2021
75;https://static-cdn.jtvnw.net/jtv_user_pictures/fb5b51b2-7169-471d-9964-8960588d08db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;baloncestofemenino;9030;1185;15;8;84;false;false;Spanish;1;2021
76;https://static-cdn.jtvnw.net/jtv_user_pictures/5c4b8c10-6c78-4ade-a6ab-f664ae63dc8d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;cvrochelambert;8970;180;83;50;84;false;false;Spanish;1;2021
77;https://static-cdn.jtvnw.net/jtv_user_pictures/51fa39f0-8fae-42e7-a7c7-0ca0e3f1e7dc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ElMaillot;8805;165;73;53;217;false;false;Spanish;1;2021
78;https://static-cdn.jtvnw.net/jtv_user_pictures/26792668-f0af-4bdf-8236-a13c8678ce72-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Leonishiki;8655;855;23;10;309;false;false;Spanish;1;2021
79;https://static-cdn.jtvnw.net/jtv_user_pictures/dfa1e5e9-8864-42a2-810c-d31a1ed5ac40-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;agorafutbol;8535;555;42;15;703;true;false;Spanish;1;2021
80;https://static-cdn.jtvnw.net/jtv_user_pictures/c5779403-1368-450c-b10f-cde0b2bdca1a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;sermudarmillacv;8310;285;51;29;69;false;false;Spanish;1;2021
81;https://static-cdn.jtvnw.net/jtv_user_pictures/e620b28d-bdbe-43d2-b957-fc2db665e1c2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;arturogcampos;8295;60;196;138;4606;false;false;Spanish;1;2021
82;https://static-cdn.jtvnw.net/jtv_user_pictures/e203ab27-5895-4d73-8939-44be4c327ecd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;UnTiroenlaOlla;8190;330;40;25;106;false;false;Spanish;1;2021
83;https://static-cdn.jtvnw.net/jtv_user_pictures/b3bcb932-8421-4955-9197-827251ec7e43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;BarradelVAR;8085;1200;16;7;147;false;false;Spanish;1;2021
