N;titulo;canal;País;Tipo;id;enlace;date;anyo;mes
28;Yellowstone National Park Vacation Travel Guide  -  Expedia;Expedia;Estados Unidos;Viaje;bme0rs75Z3E;https://www.youtube.com/watch?v=bme0rs75Z3E;2019-02-07T17:30:00Z;2019;2
29;Ausgerechnet Wohnmobil  -  ARD Reisen;ARD Reisen;Alemania;Viaje;xds5oYdfogo;https://www.youtube.com/watch?v=xds5oYdfogo;2019-03-03T08:00:04Z;2019;2
30;Do the math and then do Barcelona for less with the WestJet RBC® World Elite Mastercard‡.*;WestJet;España;Viaje;I3asjPW-akQ;https://www.youtube.com/watch?v=I3asjPW-akQ;2019-02-22T21:37:23Z;2019;2
31;Австралия, которую вы не знаете. Большой выпуск.;Антон Птушкин;Australia;Viaje;tVTT95C8J4o;https://www.youtube.com/watch?v=tVTT95C8J4o;2019-03-20T14:13:39Z;2019;3
32;Expo 2020 Dubai  -  Welcome the Future - Extended;EXPO City Dubai;Emiratos Árabes Unidos;Evento;bXBwMqDjL04;https://www.youtube.com/watch?v=bXBwMqDjL04;2019-03-28T03:58:01Z;2019;3
33;Portuguese Waves (sneak peek);Visit Portugal;Portugal;Viaje;E7sPgzPP4nI;https://www.youtube.com/watch?v=E7sPgzPP4nI;2019-03-08T15:50:26Z;2019;3
34;INDIAN Street Food $100 CHALLENGE in MUMBAI! Best Street Food in Mumbai!;Best Ever Food Review Show;India;Comida;6SU7jn0z2ys;https://www.youtube.com/watch?v=6SU7jn0z2ys;2019-03-31T12:26:02Z;2019;3
35;🔴 LIVE 24/7  Rolling Cam Venice - Live Cam in Venice Italy - Livecam en direct #venice;I Love You Venice;Italia;Viaje;ph1vpnYIxJk;https://www.youtube.com/watch?v=ph1vpnYIxJk;2019-03-13T16:57:41Z;2019;3
36;Анаконда, малярийные комары и эликсир молодости. Бразилия. Мир наизнанку 10 сезон 17 выпуск;МИР НАИЗНАНКУ;Brasil;Viaje;1LYc0J6EiT4;https://www.youtube.com/watch?v=1LYc0J6EiT4;2019-03-06T21:30:00Z;2019;3
37;32 Places You Need To Eat At In London  -  The Ultimate List;Insider Food;Reino Unido;Comida;yCCyJD7cVKU;https://www.youtube.com/watch?v=yCCyJD7cVKU;2019-03-18T16:00:07Z;2019;3
38;My Ultimate Flight - Flying the Supersonic Concorde;Sam Chui;Varios países;Viaje;i7ZE8eK6lTQ;https://www.youtube.com/watch?v=i7ZE8eK6lTQ;2019-03-08T13:03:51Z;2019;3
39;The Best Ice Cream In Los Angeles  -  Best Of The Best;Insider Food;Estados Unidos;Comida;O2Au0SXlATM;https://www.youtube.com/watch?v=O2Au0SXlATM;2019-03-30T16:00:03Z;2019;3
40;Why Lucali Is The Most Legendary Pizza Restaurant In Brooklyn  -  Legendary Eats;Insider Food;Estados Unidos;Comida;e5t3mx8HBb0;https://www.youtube.com/watch?v=e5t3mx8HBb0;2019-03-06T17:00:04Z;2019;3
41;Car Rental APP - Goldcar;GOLDCAR;Varios países;Evento;4cYOHJ2JnTo;https://www.youtube.com/watch?v=4cYOHJ2JnTo;2019-03-25T16:25:52Z;2019;3
42;Trailer  -  Born to Let Go - the series;Bonjour Québec;Canadá;Evento;ITnzZqTEWO0;https://www.youtube.com/watch?v=ITnzZqTEWO0;2019-03-26T15:58:15Z;2019;3
43;Minecraft Pe How To Make a Portal To The Jesus Dimension - Mcpe Portal To The Jesus!!!;SmoothMarky;Varios países;Evento;OCo16eap0Pk;https://www.youtube.com/watch?v=OCo16eap0Pk;2019-03-27T21:19:13Z;2019;3
44;15 Tips for First-Time Travellers to Japan  -  japan-guide.com;japan-guide.com;Japón;Viaje;00ZXaXIABMY;https://www.youtube.com/watch?v=00ZXaXIABMY;2019-03-27T23:38:34Z;2019;3
45;25 Ice Cream Cones For Your Next Brain Freeze  -  The Ultimate List;Insider Food;Varios países;Comida;g6BmWyX8Cto;https://www.youtube.com/watch?v=g6BmWyX8Cto;2019-03-25T16:00:04Z;2019;3
46;Street Food in Peshawar - GOLDEN PULAO Mountain + Charsi Tikka Kabab + Pakistani Street Food Tour!;The Food Ranger;Pakistán;Comida;NQDom2gxiVc;https://www.youtube.com/watch?v=NQDom2gxiVc;2019-04-27T14:00:05Z;2019;4
47;Япония, которая взрывает мозг. Большой выпуск.;Антон Птушкин;Japón;Viaje;Gb0TQ7VeApY;https://www.youtube.com/watch?v=Gb0TQ7VeApY;2019-04-16T13:05:25Z;2019;4
48;SAVED FROM A SCAMMER in India (Beggar Scam Exposed);Karl Rock;India;Viaje;d0njuYFGeO0;https://www.youtube.com/watch?v=d0njuYFGeO0;2019-04-04T06:30:02Z;2019;4
49;How Italian Gorgonzola Cheese Is Made  -  Regional Eats  -  Food Insider;Insider Food;Italia;Comida;KPqK5LyGsiE;https://www.youtube.com/watch?v=KPqK5LyGsiE;2019-04-04T16:00:07Z;2019;4
50;How Emirates Makes 225,000 In-Flight Meals A Day;Insider Business;Varios países;Evento;4wkvaEM4bIg;https://www.youtube.com/watch?v=4wkvaEM4bIg;2019-04-29T15:00:01Z;2019;4
