N;titulo;canal;País;Tipo;id;enlace;date;anyo;mes
124;Day in the Life of a Typical Japanese Cosplay Worker;Paolo fromTOKYO;Japón;Evento;O82o15Asq54;https://www.youtube.com/watch?v=O82o15Asq54;2019-09-27T23:59:23Z;2019;9
125;How Swiss Emmentaler Cheese Is Made  -  Regional Eats;Insider Food;Suiza;Comida;1a7f9wzOfWk;https://www.youtube.com/watch?v=1a7f9wzOfWk;2019-09-25T16:00:11Z;2019;9
126;Cocos Island - The mysterious island in the Pacific;Free High-Quality Documentaries;Costa Rica;Viaje;49FFwqAVxlg;https://www.youtube.com/watch?v=49FFwqAVxlg;2019-09-03T15:05:27Z;2019;9
127;"Brad and Matty Matheson Go Noodling for Catfish Part 1  -  It&#39;s Alive  -  Bon Appétit";Bon Appétit;Estados Unidos;Comida;-JkcZRBUNtw;https://www.youtube.com/watch?v=-JkcZRBUNtw;2019-09-19T16:02:01Z;2019;9
128;Discover Ohio;Visit The USA;Estados Unidos;Viaje;e1Qf3dV32Ew;https://www.youtube.com/watch?v=e1Qf3dV32Ew;2019-09-05T16:32:16Z;2019;9
129;The Best Doughnuts In Los Angeles  -  Best Of The Best;Insider Food;Estados Unidos;Comida;eDgUNT3ikco;https://www.youtube.com/watch?v=eDgUNT3ikco;2019-09-21T16:00:07Z;2019;9
130;Милан. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;Italia;Viaje;Xq1YjHL4a50;https://www.youtube.com/watch?v=Xq1YjHL4a50;2019-09-29T13:13:50Z;2019;9
131;11 Things NOT to do in Israel - MUST SEE BEFORE YOU GO!;Cal McKinley;Israel;Viaje;M-ZnT4wDMV4;https://www.youtube.com/watch?v=M-ZnT4wDMV4;2019-09-22T20:41:35Z;2019;9
132;The Best Hot Fried Chicken In Nashville  -  Best Of The Best;Insider Food;Estados Unidos;Comida;uYaQ74Vqh5U;https://www.youtube.com/watch?v=uYaQ74Vqh5U;2019-09-28T16:00:14Z;2019;9
133;Why People Wait For Hours To Eat At This Tiny Boston Ramen Workshop;Insider Food;Estados Unidos;Comida;H030kvQqrDA;https://www.youtube.com/watch?v=H030kvQqrDA;2019-09-08T16:00:02Z;2019;9
134;The Best Deep Dish Pizza In Chicago  -  Best Of The Best;Insider Food;Estados Unidos;Comida;X6fkP_5IHV0;https://www.youtube.com/watch?v=X6fkP_5IHV0;2019-09-07T16:00:12Z;2019;9
135;EP 20 Shri Hemkunt Sahib Yatra plus valley of Flowers  -  Uttarakhand;visa2explore;India;Viaje;XN6ZJUC8V1o;https://www.youtube.com/watch?v=XN6ZJUC8V1o;2019-09-15T03:30:03Z;2019;9
136;Olive Wagyu in Japan - The rarest Steak in the World;Aden Films;Japón;Comida;MURPf_6r8z4;https://www.youtube.com/watch?v=MURPf_6r8z4;2019-10-07T14:13:38Z;2019;10
137;"Be There for The World&#39;s Greatest Show";EXPO City Dubai;Emiratos Árabes Unidos;Evento;z3PdVAviXfg;https://www.youtube.com/watch?v=z3PdVAviXfg;2019-10-14T02:36:37Z;2019;10
138;Швейцария. Почти идеальная страна. Большой Выпуск.;Антон Птушкин;Suiza;Viaje;YtZZ-hxz9TI;https://www.youtube.com/watch?v=YtZZ-hxz9TI;2019-10-15T08:14:27Z;2019;10
139;Cycling Adventure - Experience Ehime Japan 2020;Experience Ehime Japan;Japón;Viaje;2558AJjxkDs;https://www.youtube.com/watch?v=2558AJjxkDs;2019-10-31T03:36:03Z;2019;10
140;How Dutch Gouda Is Made At A 100-Year-Old Family Farm  -  Regional Eats  -  Insider Food;Insider Food;Países Bajos;Comida;ImpROVueIcE;https://www.youtube.com/watch?v=ImpROVueIcE;2019-10-23T16:00:06Z;2019;10
141;"Ce MONSTRE m&#39;à TIRÉ SOUS L&#39;EAU (Pêche à la ligne à main)  - Cyril Chauquet";Cyril Chauquet;Francia;Evento;vefYSpazROY;https://www.youtube.com/watch?v=vefYSpazROY;2019-10-13T14:00:11Z;2019;10
142;TALLEST HUMANS ON EARTH (South Sudan) - 7.5 FEET!;Drew Binsky;Sudán del Sur;Viaje;u03kNQNclGY;https://www.youtube.com/watch?v=u03kNQNclGY;2019-10-15T18:49:15Z;2019;10
143;Magic of Hong Kong. Mind-blowing cyberpunk drone video of the craziest Asia’s city by Timelab.pro;Timelab Pro;Hong Kong;Viaje;gYO1uk7vIcc;https://www.youtube.com/watch?v=gYO1uk7vIcc;2019-10-07T13:47:44Z;2019;10
144;What It Takes To Be A First Class Flight Attendant For Emirates;Insider Business;Emiratos Árabes Unidos;Evento;vp-8-WXeq-E;https://www.youtube.com/watch?v=vp-8-WXeq-E;2019-10-14T14:00:07Z;2019;10
145;Scotland the Brave by the Massed Bands on the march after the 2019 Dufftown Highland Games in Moray;Braemar Media;Reino Unido;Evento;nnG1oUkWBa8;https://www.youtube.com/watch?v=nnG1oUkWBa8;2019-10-10T13:40:35Z;2019;10
146;Why Japanese Swords Are So Expensive  -  So Expensive;Insider Business;Japón;Comida;767UcLMZTbo;https://www.youtube.com/watch?v=767UcLMZTbo;2019-10-12T15:00:01Z;2019;10
147;What Cheese Looks Like Around The World;Insider Food;Varios países;Comida;2NutfCHAyNM;https://www.youtube.com/watch?v=2NutfCHAyNM;2019-10-01T20:00:02Z;2019;10
148;Shaima Pilots the ETIHAD A380 out of Abu Dhabi;Just Planes;Emiratos Árabes Unidos;Viaje;LLU_S0DJjrw;https://www.youtube.com/watch?v=LLU_S0DJjrw;2019-10-06T09:30:15Z;2019;10
149;Top 10 SCARIEST Rides - Fear of Heights;Theme Park Crazy;Varios países;Evento;VnvnS5dlKZA;https://www.youtube.com/watch?v=VnvnS5dlKZA;2019-10-20T23:14:07Z;2019;10
150;The Best Hot Chocolate In London  -  Best Of The Best  -  Food Insider;Insider Food;Reino Unido;Comida;L0_xrFtnWv8;https://www.youtube.com/watch?v=L0_xrFtnWv8;2019-10-19T16:00:02Z;2019;10
151;Guided Wim Hof Method Breathing;Wim Hof;N/A;Salud;tybOi4hjZFQ;https://www.youtube.com/watch?v=tybOi4hjZFQ;2019-11-26T15:10:00Z;2019;11
152;NFL Everyday Recipe DVC - 25sec;National Foods Limited;N/A;Comida;HL25xomAU3g;https://www.youtube.com/watch?v=HL25xomAU3g;2019-11-07T11:32:35Z;2019;11
153;Day in the Life of a Japanese Game Programmer;Paolo fromTOKYO;Japón;Vida cotidiana;e_TxH59MclA;https://www.youtube.com/watch?v=e_TxH59MclA;2019-11-30T00:00:06Z;2019;11
154;The Real Value of Travel ✈ Wego;Wego Arabia;N/A;Viaje;tMFnxRZqEnw;https://www.youtube.com/watch?v=tMFnxRZqEnw;2019-11-21T05:54:36Z;2019;11
155;Day in the Life of a Japanese Manga Creator;Paolo fromTOKYO;Japón;Vida cotidiana;t3rKrTehORY;https://www.youtube.com/watch?v=t3rKrTehORY;2019-11-16T00:00:05Z;2019;11
156;Most PAINFUL experience of my life 😫 Samoan Traditional TATTOO  (Expedition Drenched S01 Ep. 22);Expedition Drenched;N/A;Viaje;Uc1S43xJ1xY;https://www.youtube.com/watch?v=Uc1S43xJ1xY;2019-11-11T19:04:48Z;2019;11
157;Cheetahs - High-speed hunters of the Savannah;Free High-Quality Documentaries;N/A;Documentales;512EAAsksVc;https://www.youtube.com/watch?v=512EAAsksVc;2019-11-07T16:27:45Z;2019;11
158;$2 Ramen VS $100 Ramen in Tokyo, Japan!!! Never Seen Before!!;Best Ever Food Review Show;Japón;Comida;a5yP1yqGEMo;https://www.youtube.com/watch?v=a5yP1yqGEMo;2019-11-14T12:26:16Z;2019;11
159;What First, Business, And Economy Classes Are Like On Emirates  -  Business Insider;Insider Business;N/A;Viaje;q8u3-3Y1xno;https://www.youtube.com/watch?v=q8u3-3Y1xno;2019-11-21T16:00:07Z;2019;11
160;ESCAPAR de un PAIS en GUERRA  -  África #51  -  Vuelta al mundo en moto;Nico - Ride Me Five;N/A;Viaje;xiFEzexSdIQ;https://www.youtube.com/watch?v=xiFEzexSdIQ;2019-11-24T18:00:11Z;2019;11
161;$6 Lobster VS $460 Lobster in Vietnam!!! (Biggest Lobster in Vietnam!);Best Ever Food Review Show;Vietnam;Comida;9R8LzNUW4s4;https://www.youtube.com/watch?v=9R8LzNUW4s4;2019-11-06T12:39:41Z;2019;11
162;What McDonald’s Menu Items Look Like Around The World;Insider Food;Varios países;Comida;JJPmoHR7DlU;https://www.youtube.com/watch?v=JJPmoHR7DlU;2019-11-23T17:00:05Z;2019;11
163;"The World&#39;s LONGEST Flight - QANTAS London to Sydney";Sam Chui;Varios países;Viaje;eJP93u7n5Ok;https://www.youtube.com/watch?v=eJP93u7n5Ok;2019-11-16T05:30:59Z;2019;11
164;We Shutdown a Scam Call Centre in India!;Karl Rock;India;Evento;uwZcEOdRwE4;https://www.youtube.com/watch?v=uwZcEOdRwE4;2019-11-17T06:30:02Z;2019;11
165;Japanese Kobe Beef Factory!!! MOST EXPENSIVE Meat in the World!!!;Best Ever Food Review Show;Japón;Comida;K6aZZE-blAQ;https://www.youtube.com/watch?v=K6aZZE-blAQ;2019-12-01T12:26:16Z;2019;11
166;Flight Filters;KAYAK;N/A;Viaje;hO6uWAvv2Ss;https://www.youtube.com/watch?v=hO6uWAvv2Ss;2019-12-19T21:59:00Z;2019;12
167;Why This Portuguese Sardine Cannery Swears By Its 100-Year-Old Method  -  Regional Eats;Insider Food;Portugal;Comida;jpTwHAt0Zxw;https://www.youtube.com/watch?v=jpTwHAt0Zxw;2019-12-11T17:00:12Z;2019;12
168;Day in the Life of a Typical Japanese University Student;Paolo fromTOKYO;Japón;Vida cotidiana;yC-DDo3ESwA;https://www.youtube.com/watch?v=yC-DDo3ESwA;2019-12-27T23:59:05Z;2019;12
169;THAILAND CAPSULE HOTEL (sleeping in the Bangkok airport);Kara and Nate;Tailandia;Viaje;pps8hh5Aq-c;https://www.youtube.com/watch?v=pps8hh5Aq-c;2019-12-09T14:45:00Z;2019;12
170;How This 116-Year-Old Shop In Little Tokyo Makes Mochi;BuzzFeed Bring Me;Estados Unidos;Comida;gSgdaEPrcbA;https://www.youtube.com/watch?v=gSgdaEPrcbA;2019-12-30T19:00:11Z;2019;12
171;Japanese Kobe Beef Factory!!! MOST EXPENSIVE Meat in the World!!!;Best Ever Food Review Show;Japón;Comida;K6aZZE-blAQ;https://www.youtube.com/watch?v=K6aZZE-blAQ;2019-12-01T12:26:16Z;2019;12
172;STRANGE Seafood in Hong Kong!! RARE Seafood Tour from Fish Balls to Fish Stalls!!;Best Ever Food Review Show;Hong Kong;Comida;-kyqE2Nq3pc;https://www.youtube.com/watch?v=-kyqE2Nq3pc;2019-12-24T12:24:08Z;2019;12
173;Минус 40 в якутской деревне  -  НЕИЗВЕСТНАЯ РОССИЯ;Настоящее Время. Док;Rusia;Viaje;nYUTF6V2V50;https://www.youtube.com/watch?v=nYUTF6V2V50;2019-12-17T17:25:44Z;2019;12
174;$6 vs. $100 KOREAN BUFFET! LOBSTER All You Can Eat in Seoul;Strictly Dumpling;Corea del Sur;Comida;6qXalNqIHHc;https://www.youtube.com/watch?v=6qXalNqIHHc;2019-12-28T16:00:00Z;2019;12
175;Death of Street Food in Hong Kong!!! Protests, Pigeons, Dai Pai Dong!;Best Ever Food Review Show;Hong Kong;Comida;xN75_QQODLw;https://www.youtube.com/watch?v=xN75_QQODLw;2019-12-19T12:22:23Z;2019;12
176;Explore Liberty Station - One Bright Idea;San Diego;Estados Unidos;Viaje;t8Zm2Y7QHsI;https://www.youtube.com/watch?v=t8Zm2Y7QHsI;2019-12-18T00:26:11Z;2019;12
177;Exotic Hong Kong Food Tour!!! Chinese Cockroach Soup and more!!;Best Ever Food Review Show;Hong Kong;Comida;app7Plr_b7Q;https://www.youtube.com/watch?v=app7Plr_b7Q;2019-12-22T12:25:47Z;2019;12
178;Колорадо. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;Rusia;Viaje;eOr0j9dyqd8;https://www.youtube.com/watch?v=eOr0j9dyqd8;2019-12-29T09:30:03Z;2019;12
179;How Traditional English Stilton Cheese Is Made At A 100-Year-Old Dairy  -  Regional Eats;Insider Food;Reino Unido;Comida;HGs9e8j54vA;https://www.youtube.com/watch?v=HGs9e8j54vA;2019-12-04T17:00:07Z;2019;12
180;Техас. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;Rusia;Viaje;wf62R6yQXmM;https://www.youtube.com/watch?v=wf62R6yQXmM;2019-12-15T09:30:02Z;2019;12
181;Maxcolchon, bienvenidos al descanso;MAXCOLCHON;España;Viaje;0pQS0r25a9M;https://www.youtube.com/watch?v=0pQS0r25a9M;2020-01-14T11:28:21Z;2020;1
182;Day in the Life of a Japanese Delivery Worker;Paolo fromTOKYO;Japón;Vida cotidiana;D8A_Hu_WqeQ;https://www.youtube.com/watch?v=D8A_Hu_WqeQ;2020-01-17T23:59:23Z;2020;1
183;"Expo 2020  -  Arts &amp; Culture";EXPO City Dubai;Emiratos Árabes Unidos;Evento;XEQ6fmcBOWo;https://www.youtube.com/watch?v=XEQ6fmcBOWo;2020-01-19T13:07:40Z;2020;1
184;What Happens Here, Only Happens Here: Key of Vegas;Visit Las Vegas;Estados Unidos;Viaje;KMIsN41PMv0;https://www.youtube.com/watch?v=KMIsN41PMv0;2020-01-30T17:00:05Z;2020;1
185;100th COUNTRY DOCUMENTARY;Kara and Nate;Varios países;Viaje;FuFv4iF8wgg;https://www.youtube.com/watch?v=FuFv4iF8wgg;2020-01-28T15:00:02Z;2020;1
186;Entrare da soli in Corea Del Nord 🇰🇵 - EP.1;Progetto Happiness;Corea del Norte;Viaje;69O1FyBcnR8;https://www.youtube.com/watch?v=69O1FyBcnR8;2020-01-22T18:00:00Z;2020;1
187;HOW TO TRAVEL BALI - 14 Days in Paradise;Lost LeBlanc;Indonesia;Viaje;R-07lW6jsDw;https://www.youtube.com/watch?v=R-07lW6jsDw;2020-01-07T13:19:12Z;2020;1
188;"India&#39;s FOOD Temple! THE HOLIEST FOOD IN THE WORLD 🚩";Karl Rock;India;Comida;8RPH6VqckqU;https://www.youtube.com/watch?v=8RPH6VqckqU;2020-01-09T06:30:00Z;2020;1
189;5 Food Trends That Lived And Died This Decade;Insider Food;N/A;Comida;XeH1oxu5lv8;https://www.youtube.com/watch?v=XeH1oxu5lv8;2020-01-01T21:00:02Z;2020;1
190;How Noodles Are Eaten Around The World;Insider Food;Varios países;Comida;WvRnNjd0wNo;https://www.youtube.com/watch?v=WvRnNjd0wNo;2020-01-04T17:00:07Z;2020;1
191;Top 10 Disney Ride Breakdowns Pt 2  -  Stuck on Disney Rides;TPMvids;N/A;Evento;SWW8KOMOJiw;https://www.youtube.com/watch?v=SWW8KOMOJiw;2020-01-26T18:31:13Z;2020;1
192;The most dangerous moments - When film makers risk their lives;Free High-Quality Documentaries;N/A;Documentales;NFZ4EFXT344;https://www.youtube.com/watch?v=NFZ4EFXT344;2020-01-20T11:34:09Z;2020;1
193;The BEST Noodles in the WORLD!!! Chinese FIRE NOODLE + Street Food Tour of Chongqing - EXTREME!!!;The Food Ranger;China;Comida;Hgq1LoAqMgg;https://www.youtube.com/watch?v=Hgq1LoAqMgg;2020-01-11T14:00:02Z;2020;1
194;Тихуана. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;Rusia;Viaje;AzkOuH1KKvQ;https://www.youtube.com/watch?v=AzkOuH1KKvQ;2020-01-12T09:30:03Z;2020;1
195;How Traditional Spanish Chorizo Is Made  -  Regional Eats;Insider Food;España;Comida;HkgQzSm2GLg;https://www.youtube.com/watch?v=HkgQzSm2GLg;2020-01-01T17:00:04Z;2020;1
196;M.I.C.E. in the Philippines;Tourism Philippines;Filipinas;Viaje;_7E57f7a3Sg;https://www.youtube.com/watch?v=_7E57f7a3Sg;2020-02-11T05:47:40Z;2020;2
197;Day in the Life of a Japanese Mom and Baby in Tokyo;Paolo fromTOKYO;Japón;Vida cotidiana;RrniEJHByV4;https://www.youtube.com/watch?v=RrniEJHByV4;2020-02-14T23:59:28Z;2020;2
198;🔴 4K Live Cam of Ponte delle Guglie Venice - View from Hotel Filù Venezia  - Live stream ライブカメラ;I Love You Venice;Italia;Viaje;HpZAez2oYsA;https://www.youtube.com/watch?v=HpZAez2oYsA;2020-02-25T17:28:35Z;2020;2
199;#StepOnEarth - Turkish Airlines;Turkish Airlines;Turquía;Viaje;_fPV05xpVZE;https://www.youtube.com/watch?v=_fPV05xpVZE;2020-02-02T22:28:59Z;2020;2
200;Мальдивы. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;Rusia;Viaje;7UNIwBtYEDE;https://www.youtube.com/watch?v=7UNIwBtYEDE;2020-02-16T09:29:59Z;2020;2
201;Dive into Birch Aquarium at Scripps - One Bright Idea;San Diego;Estados Unidos;Viaje;2hXmt1lQbos;https://www.youtube.com/watch?v=2hXmt1lQbos;2020-02-14T00:10:56Z;2020;2
202;"600 POUND WATER BUFFALO!! Bangladesh&#39;s Secret Youtube Food Village!!!";Best Ever Food Review Show;Bangladesh;Comida;oIuuZLZtnfA;https://www.youtube.com/watch?v=oIuuZLZtnfA;2020-02-02T12:21:21Z;2020;2
203;JAMES BONDS SECRET $60 MILLION DOLLAR MEGAYACHT!;TheYachtGuy Official;N/A;Viaje;xC2PY4-TW9g;https://www.youtube.com/watch?v=xC2PY4-TW9g;2020-02-25T20:50:39Z;2020;2
204;25 Most Amazing Ancient Ruins of the World;touropia;N/A;Viaje;fq70UHD8DrM;https://www.youtube.com/watch?v=fq70UHD8DrM;2020-03-01T19:54:29Z;2020;2
205;Пхукет. Орёл и Решка. Ивлеева VS Бедняков (eng, rus sub);Орел и Решка;Rusia;Viaje;DpzFpgurJoQ;https://www.youtube.com/watch?v=DpzFpgurJoQ;2020-02-02T09:30:04Z;2020;2
206;"More Religious Scams in India - SAY &quot;NO!&quot;";Karl Rock;India;Vida cotidiana;Yp5PxHPjw70;https://www.youtube.com/watch?v=Yp5PxHPjw70;2020-02-10T06:30:02Z;2020;2
207;Jim’s South Street Makes The Quintessential Philly Cheesesteak  -  Legendary Eats  -  Food Insider;Insider Food;Filadelfia, Estados Unidos;Comida;NwZzZ2I5XWY;https://www.youtube.com/watch?v=NwZzZ2I5XWY;2020-02-06T17:00:09Z;2020;2
208;The Easiest Alphabet?;Nas Daily;N/A;Documentales;gqIoeiYF4es;https://www.youtube.com/watch?v=gqIoeiYF4es;2020-02-29T12:00:13Z;2020;2
209;Fantastic Cockpit Views AIRBUS A380 Takeoff  -  8 Cameras;Just Planes;N/A;Viaje;uDVTm1Xbc9k;https://www.youtube.com/watch?v=uDVTm1Xbc9k;2020-02-02T13:00:10Z;2020;2
210;We boarded a cruise to ANTARCTICA (FULL SHIP TOUR);Kara and Nate;Antártida;Viaje;ojMukKCv-Hc;https://www.youtube.com/watch?v=ojMukKCv-Hc;2020-03-02T17:45:00Z;2020;2
211;Day in the Life of a Japanese Housewife in Tokyo;Paolo fromTOKYO;Japón;Vida cotidiana;sBkmKu4Acog;https://www.youtube.com/watch?v=sBkmKu4Acog;2020-03-06T23:57:23Z;2020;3
212;Secret Diet of Myanmar MONKS!!! Live to 100!!;Best Ever Food Review Show;Myanmar;Comida;MkY373SFzzU;https://www.youtube.com/watch?v=MkY373SFzzU;2020-03-25T12:34:24Z;2020;3
213;Doha Qatar 4K. Sights, Economy and World Cup 2022;CoolVision;Catar;Viaje;NPe3BUsq1K0;https://www.youtube.com/watch?v=NPe3BUsq1K0;2020-03-20T21:46:03Z;2020;3
214;"INSANE Old Delhi Muslim WEDDING Feast ! 2000 PEOPLE + Cooking &amp; Tasting with LOCAL CHEFS";Delhi Food Walks;India;Comida;lrbZOeX4isM;https://www.youtube.com/watch?v=lrbZOeX4isM;2020-03-07T12:30:02Z;2020;3
215;"DAILY LIFE ONBOARD A CRUISE IN ANTARCTICA (what it&#39;s really like)";Kara and Nate;Antártida;Viaje;6RUfOU_Dqw8;https://www.youtube.com/watch?v=6RUfOU_Dqw8;2020-03-16T15:31:58Z;2020;3
216;25 Most Amazing Ancient Ruins of the World;touropia;N/A;Viaje;fq70UHD8DrM;https://www.youtube.com/watch?v=fq70UHD8DrM;2020-03-01T19:54:29Z;2020;3
217;Emirates Women Pilot Boeing 777 into Quito  -  Cockpit Views;Just Planes;N/A;Viaje;rUElMazmPiQ;https://www.youtube.com/watch?v=rUElMazmPiQ;2020-03-08T14:00:13Z;2020;3
218;Archivo Secreto Vaticano. Expediente Cisneros: Los Secretos del Cardenal. Documental. La Luna TV;La Luna TV Multimedia;N/A;Documentales;S0J-qdJSfbA;https://www.youtube.com/watch?v=S0J-qdJSfbA;2020-03-20T15:28:43Z;2020;3
219;St. Croix A Vibe Like No Other  -  Hidden Gem of the Caribbean;VisitUSVI;Islas Vírgenes de los Estados Unidos;Viaje;1fdki213W6c;https://www.youtube.com/watch?v=1fdki213W6c;2020-03-11T17:39:50Z;2020;3
220;Undiscovered IRANIAN STREET FOOD Tour!!  -  Ancient Bazaar of Tabriz, Iran!;Mark Wiens;Irán;Comida;e-6dh8HrwxI;https://www.youtube.com/watch?v=e-6dh8HrwxI;2020-03-08T13:00:06Z;2020;3
221;Wine Pairs with Adventure. Wine pairs with Portugal.;Visit Portugal;Portugal;Comida;TnsCjFWesyU;https://www.youtube.com/watch?v=TnsCjFWesyU;2020-03-04T12:15:17Z;2020;3
222;We boarded a cruise to ANTARCTICA (FULL SHIP TOUR);Kara and Nate;Antártida;Viaje;ojMukKCv-Hc;https://www.youtube.com/watch?v=ojMukKCv-Hc;2020-03-02T17:45:00Z;2020;3
223;MITSUBISHI MOTORS  -  #DESACELERE;Mitsubishi Motors BR;Brasil;Viaje;My3aM7OlmzQ;https://www.youtube.com/watch?v=My3aM7OlmzQ;2020-03-26T00:10:25Z;2020;3
224;What 23 Sandwiches Look Like Around The World;Insider Food;N/A;Comida;uQglfHowW4Q;https://www.youtube.com/watch?v=uQglfHowW4Q;2020-03-21T16:00:25Z;2020;3
225;"The World&#39;s Hardest Travel Visas to Get ($3,000?)";Drew Binsky;N/A;Viaje;MZJcYETgsyY;https://www.youtube.com/watch?v=MZJcYETgsyY;2020-03-30T22:08:21Z;2020;3
226;Саудовская Аравия. Нефть, туризм и большие перемены. Большой Выпуск.;Антон Птушкин;Arabia Saudita;Viaje;ea5uxRmRe8Y;https://www.youtube.com/watch?v=ea5uxRmRe8Y;2020-04-14T08:15:53Z;2020;4
227;Dream Now - Visit Later #DiscoverGermanyFromHome;germanytourism;Alemania;Viaje;3sbU567-6Sk;https://www.youtube.com/watch?v=3sbU567-6Sk;2020-04-23T14:21:40Z;2020;4
228;RARE Tribal Food of Namibia!! Himba Life and Food!!;Best Ever Food Review Show;Namibia;Comida;1-6zb_TZ23U;https://www.youtube.com/watch?v=1-6zb_TZ23U;2020-04-17T12:31:10Z;2020;4
229;Taiwanese Handmade Candy;DancingBacons;Taiwán;Comida;_RfGrcGUddM;https://www.youtube.com/watch?v=_RfGrcGUddM;2020-04-29T12:51:05Z;2020;4
230;How Traditional French Butter Is Made In Brittany  -  Regional Eats;Insider Food;Bretaña, Francia;Comida;ZyXUzhTn0kI;https://www.youtube.com/watch?v=ZyXUzhTn0kI;2020-04-08T19:00:11Z;2020;4
231;Day in the Life of a Japanese Casino Worker Pachinko;Paolo fromTOKYO;Japón;Vida cotidiana;3ouVqSaAkLY;https://www.youtube.com/watch?v=3ouVqSaAkLY;2020-04-03T23:59:35Z;2020;4
232;"The world&#39;s weirdest creatures";Free High-Quality Documentaries;N/A;Documentales;67vKK_UAg20;https://www.youtube.com/watch?v=67vKK_UAg20;2020-04-14T11:07:45Z;2020;4
233;"Two Brothers Make New York&#39;s Spiciest, Juiciest Birria Tacos  -  Food Insider";Insider Food;Nueva York, Estados Unidos;Comida;KMyjGvOjCcU;https://www.youtube.com/watch?v=KMyjGvOjCcU;2020-04-25T16:00:12Z;2020;4
234;Food in Africa!! EPIC Food Tour from Namibia to Nigeria!!!;Best Ever Food Review Show;África;Comida;gGlL9dkxhSc;https://www.youtube.com/watch?v=gGlL9dkxhSc;2020-04-07T12:57:27Z;2020;4
235;Types of Passenger Cars Part 2: Train Talk Ep. 27;CoasterFan2105;N/A;Documentales;AQJPmO4PmrI;https://www.youtube.com/watch?v=AQJPmO4PmrI;2020-04-03T16:00:09Z;2020;4
236;H10 Big Sur Spot;h10hotels;N/A;Viaje;nZX9tSosTOA;https://www.youtube.com/watch?v=nZX9tSosTOA;2020-04-27T08:27:19Z;2020;4
237;Nigeria’s Bushmeat Farms!! Eating Giant Rat with Miss Nigeria!!;Best Ever Food Review Show;Nigeria;Comida;sLR5pVza-qU;https://www.youtube.com/watch?v=sLR5pVza-qU;2020-04-29T12:25:43Z;2020;4
238;20 Comfort Foods From Around The World  -  Around The World  -  Food Insider;Insider Food;N/A;Comida;T4NOt727wqI;https://www.youtube.com/watch?v=T4NOt727wqI;2020-04-05T16:00:21Z;2020;4
239;What Dessert Looks Like In 33 Countries Around the World;Insider Food;N/A;Comida;GWwCPp92ayw;https://www.youtube.com/watch?v=GWwCPp92ayw;2020-04-11T16:00:05Z;2020;4
240;How to Make Korean Fried Chicken in 15 Minutes Recipe l Better Than Restaurants;Aaron and Claire;Corea del Sur;Comida;aFLFujQNX9s;https://www.youtube.com/watch?v=aFLFujQNX9s;2020-04-01T01:00:00Z;2020;4
241;햄 치즈 에그 토스트 / ham cheese egg toast - korean street food;야미보이 Yummyboy;Corea del Sur;Comida;eXBrn5wvl4A;https://www.youtube.com/watch?v=eXBrn5wvl4A;2020-05-03T12:00:17Z;2020;5
242;"US vs UK McDonald&#39;s  -  Food Wars";Insider Food;N/A;Comida;ZMaW6TamNAc;https://www.youtube.com/watch?v=ZMaW6TamNAc;2020-05-12T16:00:16Z;2020;5
243;"Extreme Bushmeat!! Nigeria&#39;s WILD Animal Markets!!";Best Ever Food Review Show;Nigeria;Comida;J8UmDG4i0iU;https://www.youtube.com/watch?v=J8UmDG4i0iU;2020-05-06T12:25:52Z;2020;5
244;100% Pure New Zealand. A Journey of Reflection.;100% Pure New Zealand;Nueva Zelanda;Viaje;w3rxxi0BVxE;https://www.youtube.com/watch?v=w3rxxi0BVxE;2020-05-28T20:37:01Z;2020;5
245;“Bir Zafer Anıtı: İstanbul Havalimanı” Belgeseli;Istanbul Airport TV;Turquía;Documentales;nk30SiXAWkk;https://www.youtube.com/watch?v=nk30SiXAWkk;2020-05-31T17:00:12Z;2020;5
246;"Chicago&#39;s Most Legendary Cheeseburger  -  Legendary Eats  -  Insider Food";Insider Food;Chicago, Estados Unidos;Comida;fsem5CKn-pk;https://www.youtube.com/watch?v=fsem5CKn-pk;2020-05-15T16:00:30Z;2020;5
247;"Africa&#39;s CHEAPEST Street Food!! Lagos, Nigeria Food Tour!!";Best Ever Food Review Show;Nigeria;Comida;tRSfVlNR8JM;https://www.youtube.com/watch?v=tRSfVlNR8JM;2020-05-20T12:27:07Z;2020;5
248;"BEST &amp; WORST INSTANT NOODLES! Trying EVERY Instant Noodle Quest (Part 1)";Strictly Dumpling;N/A;Comida;U9J6v-6LOC0;https://www.youtube.com/watch?v=U9J6v-6LOC0;2020-05-28T17:05:46Z;2020;5
249;Будда с Лэшаня, тоннель Голян, паломничество на Фаньцзиншань. Китай. Мир наизнанку 11 сезон 16 серия;МИР НАИЗНАНКУ;Rusia;Viaje;TyUnJy4z5Mw;https://www.youtube.com/watch?v=TyUnJy4z5Mw;2020-05-07T18:00:10Z;2020;5
250;Mexican Street Food in Tijuana 🇲🇽 INSANE TACOS TOUR IN MEXICO 🌮(Part 2);Mark Wiens;México;Comida;RYHs4tV3vcY;https://www.youtube.com/watch?v=RYHs4tV3vcY;2020-05-17T13:00:14Z;2020;5
